	SNF2_14	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_02	WT_18	WT_20	WT_39	WT_42	WT_45
YKL019W	1189	1417	1219	1510	985	1246	873	867	790	865	819	1442
YKL184W	1453	776	900	1974	832	1272	1036	980	645	679	850	1409
YKR029C	569	253	304	723	368	544	357	305	197	244	306	395
YKL176C	979	698	511	1240	578	892	805	772	509	653	606	1071
YKL033W-A	1823	1255	1063	2158	1265	1629	873	955	789	723	875	1189
YKL090W	339	210	194	339	171	356	245	202	147	146	191	248
YKR041W	71	66	66	59	48	58	12	21	15	19	16	32
YKL010C	1087	741	668	1274	744	998	872	860	567	618	718	1045
YKL032C	3051	3500	3534	4276	2301	3897	2089	1847	1544	1889	1812	3248
YKR051W	948	622	655	1159	625	941	580	602	442	386	486	706
YKR098C	1260	607	582	1368	699	1200	549	584	404	349	502	631
YKL175W	1884	1698	1790	2515	1304	1970	1245	1065	905	1079	989	1694
YKL120W	662	530	525	852	446	666	634	493	406	459	431	810
YKL222C	314	156	116	420	196	334	211	194	111	111	175	248
YKL092C	612	297	251	731	313	574	369	384	183	239	399	407
YKL068W	886	495	568	1166	497	908	832	726	368	648	557	1039
YKR009C	575	489	408	667	402	617	374	362	333	247	320	450
tA(AGC)K2	2	0	0	0	2	2	2	1	0	0	0	1
YKR028W	2019	1255	1314	2453	1245	1737	1553	1438	974	1309	1306	2151
YKR076W	1158	963	942	1244	845	1229	257	326	349	225	315	365
YKR106W	90	68	46	105	64	90	29	33	25	25	25	39
YKL197C	610	320	357	639	348	494	331	376	233	300	358	480
YKL152C	14956	13475	10546	18243	10605	13954	20395	17779	15587	16969	18030	24852
YKL093W	373	243	269	395	239	384	266	238	163	192	204	344
YKL080W	3311	1866	1776	3707	2019	2838	2332	2225	1507	1689	2041	2765
YKL185W	1001	1018	938	1301	735	1117	1310	1349	757	1185	1155	1962
YKR081C	909	493	550	1389	495	777	1025	819	460	815	806	1693
YKR035C	13	15	12	8	5	14	9	3	6	8	7	11
YKL101W	2102	804	954	2578	1202	1752	1161	1314	716	999	1274	1601
YKR008W	900	417	455	1013	482	859	629	601	369	348	562	696
tW(CCA)K	1	0	0	0	0	0	0	0	1	0	2	0
YKL056C	16064	21545	20001	20532	12522	13848	20367	15907	16743	24155	17100	32940
YKL156W	1071	1189	1086	1545	912	1266	1351	1055	835	1056	971	1789
YKL162C	343	177	193	371	202	397	148	121	72	87	134	151
YKL192C	1682	1738	1669	2016	1212	2384	1517	1118	1262	984	1167	1485
YKR064W	509	287	264	661	317	488	385	317	200	223	299	451
YKL017C	558	385	356	668	415	584	398	332	230	296	318	415
YKL204W	1398	818	914	1666	951	1358	844	933	598	670	873	1277
YKL190W	1563	1438	1531	2165	1110	1627	1099	949	886	823	931	1269
