	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YPL052W	760	1015	847
YPR112C	6269	9792	7393
YPL186C	93	145	118
YPR148C	4360	6368	4515
YPL276W	18	21	17
YPL280W	4	7	6
YPR143W	808	1316	980
YPL261C	4	5	7
YPL034W	161	259	190
YPL116W	2071	2969	2178
YPL131W	139939	186092	158590
YPR017C	465	615	520
YPL012W	17251	25410	18967
YPL017C	911	1358	1049
YPL010W	4027	5613	4603
YPR173C	3504	5111	3939
YPL233W	685	1068	815
YPR024W	6879	9893	6964
YPL152W-A	6	9	12
YPL187W	7	9	23
YPR191W	5497	6827	5973
YPR170C	30	40	26
YPR123C	109	163	103
YPR142C	1	0	1
YPL063W	6714	10133	7865
YPR007C	80	104	79
YPR084W	1006	1512	1210
YPL149W	1303	1720	1403
YPL089C	3419	4733	3712
YPR166C	738	1150	913
YPR167C	358	670	456
YPL231W	113591	162182	136914
YPR025C	1120	1544	1255
YPL098C	1401	2034	1697
YPR147C	1268	1942	1517
YPL129W	2640	3766	3029
YPR153W	233	404	371
YPR164W	5156	7480	5566
YPL026C	1711	2443	2115
YPR001W	196	268	217
YPL282C	0	2	0
YPR178W	531	895	638
YPR061C	257	348	281
YPL180W	1847	2687	2150
YPL142C	4	4	7
YPL019C	39115	58748	43970
YPL258C	437	620	427
YPL022W	3593	5220	3964
YPL279C	342	535	431
YPL044C	0	0	0
YPR193C	21	61	56
YPL001W	943	1362	1197
YPR083W	811	1079	855
YPR195C	57	92	74
YPL057C	5063	7055	6023
YPL211W	3376	4634	3659
YPL041C	296	444	378
YPR003C	1136	1681	1243
YPL181W	1448	2090	1655
YPR168W	381	588	488
YPL185W	18	42	45
YPL040C	1543	2370	1718
YPL070W	1926	2646	2039
YPR159W	10723	16185	12248
YPL002C	498	834	586
snR51	16	36	29
YPL227C	1995	3025	2346
YPL067C	601	696	726
YPL236C	628	855	711
YPL151C	1140	1699	1300
YPL234C	4362	6494	5568
YPL015C	2240	3587	2798
YPR035W	25903	36750	29420
YPR037C	413	536	448
YPR184W	1970	3212	2374
YPL135W	1822	2315	1563
YPL215W	1594	2454	1753
YPL112C	1943	2591	2116
tK(UUU)P	21	47	56
YPR146C	176	261	195
YPR087W	22	48	26
tW(CCA)P	100	136	124
YPL154C	12043	19297	14831
YPL136W	9	9	11
YPR094W	404	512	488
YPR074C	61205	86924	68419
YPL056C	226	331	263
YPL189C-A	490	648	583
YPR082C	487	722	613
YPR133C	3181	4780	3683
YPL047W	341	577	507
YPL077C	346	531	395
YPR016W-A	101	160	129
YPL272C	218	330	239
YPR050C	0	0	1
YPR108W-A	1	0	2
YPR070W	1540	2466	1915
YPL176C	3232	4114	3154
YPL220W	34689	50698	42014
YPL065W	620	745	619
YPL074W	1719	2533	2100
YPL032C	8763	12155	10432
YPL167C	1312	1802	1361
tN(GUU)P	51	74	51
YPR185W	722	1328	1075
YPR160C-A	0	0	0
YPL038W	695	980	830
YPR145W	26233	33894	28604
YPL165C	409	533	493
YPL193W	1190	1727	1379
YPL003W	724	1125	852
YPL178W	2373	3077	2702
YPL013C	738	1078	793
YPR012W	64	83	90
YPR042C	3411	4903	3711
YPL103C	1019	1458	1070
YPR028W	7959	11063	8848
YPR039W	0	0	0
YPR089W	3592	5436	4037
YPL075W	4377	6328	4736
YPR196W	327	507	409
YPR077C	1	1	0
YPL024W	555	879	570
YPR008W	3968	5382	4071
YPR071W	412	625	484
YPL182C	18	42	33
tC(GCA)P2	3	4	5
YPR062W	1798	2592	2404
YPL277C	127	168	139
YPR125W	1986	3272	2572
YPR131C	824	1259	1037
YPL221W	8176	11496	9050
YPR073C	2223	2716	2232
YPL262W	7948	11734	9030
snR45	2777	3860	4973
YPR036W	14086	21396	17492
YPL031C	1825	2459	2024
YPL237W	5314	8303	6594
YPL053C	3345	4874	3838
YPR109W	885	1469	1163
YPR159C-A	0	0	0
YPL122C	1683	2466	1888
YPL085W	12333	18858	15997
YPR104C	2447	3758	3061
YPR186C	715	1184	970
YPR201W	201	272	237
YPL138C	758	1168	812
YPR030W	578	915	641
YPR190C	4553	6193	5015
YPL043W	4444	7115	5263
YPL108W	365	517	384
YPL105C	4648	7358	5757
YPL168W	763	991	815
YPR018W	1045	1642	1266
YPR132W	45381	56318	48705
YPL222C-A	0	0	0
YPR137W	2815	4344	3391
YPL219W	745	1040	856
tS(UGA)P	9	28	37
YPL029W	1386	2098	1605
YPL113C	203	341	251
YPL190C	7107	10315	8278
YPL241C	558	823	686
YPL281C	0	1	0
YPL023C	4032	5413	4217
YPR043W	16	27	16
YPR116W	760	1077	932
YPL252C	491	626	567
YPR047W	608	1012	728
YPL119C-A	94	144	89
YPL194W	810	1128	915
YPL157W	900	1505	1183
YPL177C	2868	3692	2995
YPR165W	10045	14927	11762
YPL037C	15893	23908	20613
YPR093C	314	453	371
tG(GCC)P1	72	95	91
YPR066W	324	490	390
YPL247C	1194	1703	1305
YPL101W	2320	3153	2502
YPL064C	901	1309	990
YPL256C	4322	6368	5365
YPL099C	616	788	635
YPR023C	2732	4142	3085
YPL093W	17749	27376	21266
YPL134C	540	770	705
YPL153C	975	1430	1102
YPL222W	864	1235	877
YPR075C	1686	2576	1959
YPL118W	2453	3869	2765
YPL239W	2269	3454	2629
YPR136C	1	3	2
YPL033C	11	27	23
YPR045C	1866	2681	2069
YPR038W	0	0	0
YPR011C	789	1220	890
YPL100W	1224	1683	1247
YPL076W	550	783	646
YPL027W	16	25	20
YPL271W	1810	2248	2504
YPL128C	2407	3639	3030
YPL139C	1013	1581	1243
YPL005W	558	819	628
YPL148C	197	284	212
YPL080C	319	591	426
YPL265W	6056	9669	5742
snR59	45	79	54
YPR052C	1068	1401	1438
YPR145C-A	109	149	166
YPL096W	644	903	693
YPR078C	66	68	60
YPL104W	1135	1903	1330
YPR074W-A	4	4	9
YPL283W-B	0	0	0
YPR162C	1313	1814	1501
YPL030W	2461	3572	2995
YPL069C	746	1080	956
YPL188W	1459	1840	1448
YPL201C	104	158	108
YPL207W	4846	7362	5414
YPR021C	1810	2546	1870
YPL253C	946	1334	1033
YPR040W	886	1316	1061
YPL143W	61	69	49
YPL132W	718	1056	745
YPL171C	39	67	74
YPL126W	10693	15769	12496
YPR063C	2285	3309	3015
YPR187W	4187	6179	5004
YPL007C	1355	1875	1437
YPL209C	303	392	312
YPR182W	718	997	919
YPL242C	4528	6864	5557
YPL205C	112	227	190
YPL278C	36	38	38
YPR086W	2992	4129	3128
YPR117W	5132	7606	5964
YPL096C-A	271	437	392
YPR092W	10	15	13
YPL086C	4934	7086	5291
YPR005C	254	393	271
YPR046W	340	444	387
tK(CUU)P	5	3	6
YPL269W	969	1366	1120
YPL135C-A	0	0	0
YPR105C	4201	5942	4584
YPL158C	3236	4671	3899
tE(UUC)P	2	13	8
YPL094C	3451	5716	4208
YPR176C	1147	1574	1311
YPL191C	451	582	454
YPR204C-A	0	0	0
YPR163C	22457	32461	24871
YPL229W	284	498	436
YPR160W	1195	1918	1379
YPL049C	3386	5003	4502
YPL066W	1967	2680	2282
YPL183W-A	533	1064	811
YPL235W	5259	7632	6098
YPL141C	2437	3322	2912
tF(GAA)P1	27	58	64
YPR144C	3526	5529	4485
YPL249C-A	84	103	96
YPR128C	1757	2446	1982
YPR054W	627	799	640
YPL156C	1101	1501	1473
YPL173W	1014	1416	1062
YPR098C	741	986	830
YPL260W	4172	5650	4404
YPL251W	1	1	1
YPL016W	3229	4269	3854
YPR095C	2226	3279	2545
YPR079W	715	945	751
YPR010C	34816	48136	37572
YPL046C	267	467	327
YPL021W	2	3	9
YPL268W	2052	3093	2226
YPL283C	0	0	2
YPL206C	1178	1820	1502
YPR055W	3457	4856	3728
YPR138C	2525	3972	3082
YPL243W	6503	9149	7466
YPR127W	1459	1995	1642
YPL095C	715	1158	861
YPR027C	270	435	313
YPL232W	3598	4822	4059
YPL124W	315	400	327
YPR041W	8875	14315	10919
YPL083C	1501	2294	1731
YPL048W	14618	21875	16928
YPL120W	992	1275	1047
YPL117C	5202	6838	5753
YPR126C	81	126	107
YPR091C	3701	5407	4163
YPR059C	10	21	6
YPL214C	1259	1761	1279
YPL203W	1567	2145	1610
YPL273W	8324	10952	8899
YPR081C	1044	1483	1086
YPL011C	1568	2051	1651
YPR097W	6172	8972	6417
YPL274W	3714	6147	3206
YPR158W	1119	1367	917
YPL050C	5204	7248	5678
YPR114W	4325	6304	4722
YPL110C	3058	4538	3329
YPL161C	1230	1640	1342
YPR022C	3431	5076	3906
tT(UGU)P	0	0	0
YPR175W	1787	2493	1826
YPL068C	546	793	784
YPL055C	1021	1454	1197
YPL079W	34741	46144	40904
YPL150W	2139	2951	2291
YPR192W	163	225	210
YPL226W	34687	49267	40369
YPL115C	4438	6162	4657
YPL283W-A	0	0	0
YPL170W	462	721	564
YPL245W	1790	2335	2007
YPR140W	1098	1597	1204
YPR048W	1800	2589	2005
YPR102C	24862	38074	32402
YPL036W	938	1233	950
YPR015C	85	122	110
YPR133W-A	1443	1947	1779
YPL146C	3573	5436	4325
YPR107C	413	635	572
YPL035C	61	120	98
YPL082C	13194	18406	14981
YPR064W	21	28	45
YPL216W	1097	1715	1240
YPL152W	758	982	866
YPL230W	251	319	309
YPL159C	1043	1568	1249
YPR183W	4576	7222	6001
YPL204W	4363	6263	5051
YPL109C	900	1317	952
YPL249C	2283	3664	2722
YPR154W	2273	3483	2817
YPR026W	1206	1712	1167
YPR076W	0	0	1
YPR170W-B	326	438	389
YPR016C	8407	11187	9353
YPL060W	703	823	686
YPR029C	4322	6807	5148
YPR002C-A	31	30	25
YPL106C	102982	142179	106785
YPR085C	696	979	741
YPL008W	1345	1972	1533
YPR152C	560	818	725
YPL212C	4472	6638	5305
YPL119C	353	590	424
YPL078C	5577	7664	6283
YPL195W	5937	8757	6696
YPL025C	25	30	35
YPR060C	2481	3398	2616
YPL199C	2737	3727	3050
YPL228W	2073	2920	2331
YPL018W	719	1111	838
YPL259C	2446	3382	2834
YPR150W	10	27	14
YPL072W	248	455	331
YPL130W	7	18	7
YPR179C	1203	1771	1529
YPR096C	69	133	98
YPL028W	13337	21137	16400
YPL174C	1285	1830	1319
YPR031W	1045	1615	1194
YPL257W-A	0	0	0
YPR158W-A	0	0	0
YPL257W-B	34	35	19
YPR158C-D	5965	10212	5645
YPR137C-A	0	0	0
YPR137C-B	23	23	16
YPR158W-B	264	422	196
YPL060C-A	83	106	58
YPR158C-C	0	0	0
YMR172W	965	1324	1084
YMR027W	4414	6422	5032
YML089C	2	1	3
YMR290C	7797	11170	9078
YMR139W	1503	2167	1599
YMR191W	1560	2137	1689
YMR244C-A	47	66	54
YMR091C	2651	3758	3259
YMR173W-A	52	95	71
YMR180C	547	772	642
YML020W	1133	1647	1273
YML088W	2046	3196	2415
YML077W	1008	1370	1162
YML125C	6304	8851	7877
YMR318C	8145	12341	9491
YMR115W	1606	2233	1916
YMR266W	12827	17884	12919
YML057W	1897	2872	2284
YML055W	1018	1446	1237
YMR105C	1551	2240	1648
YMR268C	698	1061	909
YML133W-B	0	0	0
YML090W	128	150	137
YML101C	310	233	287
YMR012W	47411	68053	49916
tY(GUA)M2	3	2	0
YMR202W	6438	9240	8289
YMR083W	13056	20691	15038
snR76	118	171	174
YMR017W	53	69	66
YML085C	12214	16255	14274
YML013W	1690	2458	1879
YMR224C	943	1528	1201
YMR059W	259	361	318
YMR072W	4955	6813	5905
YMR304W	4716	6978	5237
YML087C	194	299	186
YMR195W	792	910	864
YMR240C	577	884	771
YMR308C	19953	28221	20971
YML001W	3560	4856	4115
YML114C	1728	2694	2000
YMR319C	3839	4907	3575
YML075C	7387	10210	8963
YMR075W	1262	1680	1463
YML129C	734	990	785
YML073C	31770	47853	44352
YMR149W	4365	6443	5076
YMR233W	561	897	654
YMR048W	474	682	548
YML030W	537	860	580
YMR118C	250	397	324
YMR260C	12195	16208	13347
YMR135W-A	20	23	29
tM(CAU)M	6	11	13
YML056C	26375	36142	31489
YML064C	561	802	664
YML132W	195	332	259
YML113W	984	1534	1235
YML058W-A	74	103	85
YMR136W	2206	2474	2318
YML091C	3105	4016	3249
YMR199W	2558	3954	2954
YMR286W	665	1017	780
YMR025W	269	356	317
YMR112C	474	660	526
YML127W	3008	4449	3508
YML005W	1135	1582	1179
YMR160W	1217	1641	1251
YMR046W-A	2	2	1
YMR096W	329	602	411
YML133C	31	70	45
YMR246W	24611	33703	26677
YMR052C-A	6	12	7
YMR120C	6908	10618	6160
YMR052W	147	211	170
YML100W-A	17	12	18
YML049C	3957	6005	4586
YMR065W	383	540	426
YMR098C	1676	2234	1675
YMR302C	3168	4785	3630
YMR075C-A	7	7	8
YML060W	1002	1411	1128
YMR080C	8867	12553	9441
YMR156C	325	471	378
YMR294W	447	719	527
YMR167W	1653	2290	1823
YMR242W-A	28	37	28
YMR079W	8952	12929	10802
YMR275C	3583	4982	4175
YMR100W	2480	3474	2669
YMR030W-A	15	15	25
YMR161W	1374	2044	1598
YMR183C	4043	6197	4965
YML021C	1285	1842	1569
YML074C	9666	13956	11219
YMR157C	908	1194	927
YMR110C	2457	3198	2501
YMR097C	939	1309	982
YMR111C	576	936	691
YML011C	467	791	632
YMR064W	1539	2253	1571
YML082W	2126	3358	2471
YMR300C	4801	6945	4960
YMR262W	634	956	692
YMR031C	3135	4997	3737
YMR016C	2931	3724	3606
YMR066W	1033	1570	1127
YMR007W	75	91	82
YMR201C	651	975	696
YMR232W	378	493	424
YMR200W	2805	3711	3025
YMR297W	12609	19805	14579
YML026C	45515	56654	49248
YML023C	1257	1873	1411
YMR143W	30244	40252	38160
YMR073C	917	1169	959
YML069W	3935	5630	4437
YML050W	310	532	414
YML099W-A	32	39	43
YMR211W	1054	1530	1296
tF(GAA)M	4	19	9
YMR283C	1006	1433	1147
snR74	35	42	48
RNA170	142	125	150
YML078W	3630	5651	4574
YMR142C	54616	83293	70418
YMR203W	8590	13278	10093
YMR077C	465	730	532
YMR245W	74	129	138
YMR284W	903	1314	1026
YMR089C	6062	8860	6430
YMR134W	577	930	722
YMR290W-A	3	4	6
YMR095C	221	395	314
snR83	28302	48086	60696
snR73	2	2	7
tH(GUG)M	18	24	25
YMR099C	6372	8858	7131
YMR132C	449	527	458
YML115C	3811	5427	4474
snR11	10667	15061	21432
YMR086W	3838	5882	4388
YMR044W	1395	2163	1646
YMR222C	1126	1484	1254
YMR272W-A	0	0	0
YMR321C	62	82	69
YML131W	875	1300	863
YML038C	3136	4393	3444
YML122C	20	26	28
YMR036C	1144	1683	1281
YML012W	5919	8994	7270
YML100W	4915	6825	5300
YMR312W	1360	1773	1538
YML112W	640	1081	851
YML099C	1860	2582	2134
YML123C	73419	112902	93827
tV(AAC)M3	10	9	16
YMR141C	202	342	237
YMR324C	1	0	2
YMR207C	3709	5432	4119
YMR236W	1477	2076	1801
YML034C-A	1	4	1
YMR204C	473	600	512
YMR011W	24321	37048	24005
YML008C	12590	18354	15045
YMR109W	8050	11647	9263
YMR004W	2564	3383	2725
YMR158C-A	65	66	62
YMR216C	4963	7744	5645
YMR159C	3	1	3
YMR307C-A	0	0	0
YMR272C	2208	3675	3226
YMR106C	685	1094	780
YML092C	4040	5825	4672
tV(AAC)M2	14	18	17
YML104C	3079	4505	3350
YML058W	4615	6551	6480
tW(CCA)M	2	4	3
YMR148W	586	935	715
YMR168C	1658	2323	1777
YML063W	110927	140957	123927
YMR008C	2347	3537	3202
YMR294W-A	2	10	12
YMR177W	1415	1932	1641
YMR213W	981	1535	1209
YMR192W	1501	2275	1727
YMR326C	1	0	3
YMR014W	2388	3348	2695
YMR020W	1045	1472	1171
snR86	100086	157838	122165
YMR208W	2518	3796	3181
YML098W	313	496	441
YMR133W	206	319	234
YML028W	43904	64771	53439
YMR285C	1566	2349	1908
YMR040W	130	179	157
YMR094W	500	729	586
YMR189W	3428	4211	3747
YML128C	1488	2328	1343
YML022W	5831	8243	6830
YMR299C	676	928	747
YMR227C	448	837	645
YMR119W	1893	2666	2112
YMR255W	1372	1914	1505
YMR024W	1643	2593	1797
YML054C	516	690	536
YMR317W	956	1432	1073
YMR084W	150	215	181
YMR274C	479	730	637
YMR215W	7845	10687	9305
YMR277W	3896	5754	4418
YMR033W	3021	4451	3601
YML094C-A	0	2	1
YML041C	678	899	717
YMR305C	12654	18196	16495
YMR315W-A	28	55	33
YMR237W	6962	10251	7599
YML095C	285	372	288
YMR018W	106	132	101
YMR163C	959	1473	1162
YML027W	739	1154	1057
ZOD1	0	1	2
tD(GUC)M	4	8	3
YMR162C	4438	6225	4624
YMR158W	793	1151	875
YMR210W	1082	1631	1268
YMR316C-A	18	11	16
YMR241W	6223	9504	6926
YMR205C	77208	111876	85558
YMR235C	9136	13239	10638
YMR047C	6496	10010	7750
YMR259C	6575	9329	7366
YMR175W-A	23	33	39
YMR281W	793	1209	991
YMR261C	7064	10896	8292
YMR026C	1093	1700	1293
YML010W	9288	14230	11243
YMR150C	612	904	624
YMR067C	1684	2485	1929
YMR179W	1487	2085	1625
YMR126C	714	1102	840
YML032C	2192	3344	2404
YML018C	3084	5136	3786
YML081W	6766	9481	7348
YMR003W	559	650	603
YMR221C	2954	4191	3320
YMR257C	985	1514	1089
YML068W	814	1123	786
YMR117C	384	589	434
YMR060C	730	1087	765
YMR144W	684	939	726
YMR068W	371	494	396
YML097C	1143	1628	1411
YMR182C	198	319	301
YMR295C	2461	2832	2559
YMR181C	955	1096	1126
YML080W	1343	2135	1652
YMR194C-B	146	184	171
YMR140W	1701	2318	1785
YMR058W	34880	39726	38671
YMR076C	3861	5476	4339
YMR239C	1549	2403	1884
tG(GCC)M	0	2	3
YMR242C	38675	54860	49075
YMR306C-A	4	7	2
YMR193C-A	230	324	288
YMR114C	424	608	500
YMR009W	1251	1541	1273
YMR088C	1214	2304	1753
YMR253C	649	955	756
YMR103C	255	349	293
YMR254C	23	49	30
YMR303C	712	1210	1000
YMR316W	2172	2930	2766
YML017W	4250	6025	4814
YMR104C	2229	2667	2266
YMR309C	28332	40366	30677
YML133W-A	0	0	0
YMR155W	834	1299	979
YMR313C	2234	3137	2400
YMR028W	860	1227	1045
snR72	11	38	28
YMR154C	773	1073	858
tY(GUA)M1	5	10	7
snR75	45	65	79
YML096W	1504	2105	1640
YML016C	2478	3386	2907
YML006C	2398	3437	2845
YMR178W	1801	2559	2072
YML109W	1649	2523	2081
YML015C	951	1506	1202
YMR197C	1339	1715	1405
YML014W	1098	1626	1330
YML106W	10472	14538	11849
YML025C	1003	1573	1215
tS(AGA)M	4	7	9
YMR172C-A	3	2	5
YMR193W	829	1228	877
YML052W	4183	5662	4923
YML079W	1876	2492	2119
YML101C-A	0	0	0
YML047C	5	4	6
YMR174C	44	65	60
YMR218C	2123	3230	2553
YMR315W	3447	5686	4067
YMR001C	2955	4225	3516
tV(AAC)M1	8	5	9
tE(UUC)M	6	5	14
YML121W	1312	1954	1509
YMR085W	180	265	213
YMR105W-A	88	106	79
YMR122C	75	112	87
snR78	110	138	146
YMR217W	28401	38713	31724
tA(AGC)M2	1	0	3
YMR298W	1910	2740	2310
YMR057C	13	15	19
YML042W	320	523	362
YMR320W	143	198	189
YMR287C	1500	2322	1640
YMR289W	1392	2039	1598
YML048W	7286	10747	8962
YMR250W	1396	2246	1673
YMR230W-A	37	38	48
YMR124W	2498	3448	2797
YMR311C	1966	2958	2302
snR77	138	243	252
YMR322C	1	1	5
YML119W	625	903	807
YML043C	1235	2154	1546
YML046W	2419	3322	2623
YML004C	4968	7159	5496
YMR071C	1244	1816	1498
YMR229C	44938	64193	48122
YMR063W	345	441	344
YMR301C	2680	3947	3336
YMR276W	7181	8736	7608
YMR002W	5606	8207	6279
YML081C-A	2079	2569	2630
YML019W	1761	2673	2129
YMR176W	2900	4317	3331
YMR158W-B	0	1	1
YML108W	700	975	769
YMR198W	942	1321	1069
YML094W	565	686	623
YMR006C	5998	8237	6899
YML003W	328	504	392
YML057C-A	3	12	10
YML009C-A	99	216	178
tQ(CUG)M	1	6	5
YML093W	6895	10248	7800
YMR116C	111524	155169	130419
YMR196W	1696	2986	2063
YML053C	635	1025	851
YMR151W	70	78	63
YML009C	547	920	690
YMR070W	1516	1900	1739
YMR219W	4061	6183	4816
YML037C	418	660	498
YMR280C	1162	1440	1226
YMR170C	724	1146	862
YMR123W	1468	2324	2172
YML012C-A	7	13	13
YMR019W	1916	2813	1997
YMR206W	93	157	127
YMR165C	2270	3401	2572
YMR010W	2262	3792	2838
YMR184W	530	936	805
YML126C	19160	27466	23563
YMR244W	43	67	67
YMR279C	1006	1319	1134
YMR316C-B	5	7	8
YMR107W	16	50	23
YML054C-A	18	58	31
YMR043W	3504	5037	4214
tA(AGC)M1	1	0	3
YMR270C	1220	1814	1408
YMR175W	26	40	33
YML009W-B	0	0	0
YMR035W	598	800	660
YMR108W	24015	33168	24831
YML002W	957	1370	989
YML111W	3169	4434	3621
YMR278W	2474	3032	2696
YMR185W	2272	3217	2442
YMR304C-A	328	512	443
YML084W	0	0	2
YMR258C	1433	2041	1546
YMR023C	620	920	656
YMR291W	2490	4001	2928
YMR041C	514	745	598
YMR029C	2160	3062	2368
YMR092C	6934	9900	7421
YMR138W	288	459	352
YMR122W-A	11889	19059	16321
YMR053C	537	727	545
YMR220W	3468	4747	3903
YMR087W	453	577	485
YML031W	3113	4705	3529
YML118W	475	649	555
YML120C	1976	2522	2102
YMR078C	1843	2617	1989
tL(CAA)M	5	5	7
YMR042W	468	753	603
YMR251W	143	243	251
YMR223W	1616	2112	1574
YML007C-A	29	50	63
YMR256C	1325	1509	1535
YMR214W	2158	3184	2483
tP(UGG)M	15	25	19
YMR055C	438	555	520
YML117W	6493	9337	6859
YMR271C	192	238	207
snR24	88	118	123
YMR226C	6073	8330	7161
YML110C	4110	6322	4612
YML047W-A	15	20	24
YML007W	4250	6712	4995
YMR190C	3677	5136	4148
YMR225C	766	1122	832
YMR264W	1480	2505	1924
YMR037C	3053	4254	3561
YML024W	32939	44165	41395
YML083C	83	76	104
YMR182W-A	45	47	39
YMR030W	431	625	449
YMR187C	611	849	673
YMR238W	2998	4679	3559
YML061C	2082	3258	2569
YMR130W	1470	1977	1723
YMR005W	2469	3214	2688
YMR054W	4304	6609	5130
YMR209C	1452	2189	1797
YML102W	733	1225	916
YMR194W	7642	10267	9743
YMR252C	357	513	439
YMR164C	941	1429	1107
YMR074C	1981	2782	2450
YML065W	2560	3997	2965
YMR243C	11592	16276	12632
snR85	734	894	1062
YMR145C	14390	18527	15919
YML071C	1474	1931	1627
YMR015C	6108	8877	8014
YML070W	5878	8885	6312
YMR125W	10766	14649	11058
YMR325W	0	1	4
YMR141W-A	262	374	322
YML072C	30117	45022	35042
YML105C	2442	3295	2718
YMR119W-A	210	173	134
YMR069W	206	247	196
YMR293C	237	447	369
YML124C	7617	10188	8177
YMR090W	404	779	509
YML029W	2591	3609	2613
YMR171C	3091	3960	3231
YMR102C	4746	6345	5512
YMR188C	948	1302	939
YMR269W	28	53	52
YMR128W	7917	10851	8442
YMR039C	1896	2775	2219
YMR230W	22039	28832	26406
YMR267W	1549	2250	1561
YMR247C	7273	10393	8111
YMR152W	1841	2656	2064
YMR251W-A	4850	6867	6828
YMR146C	12478	16949	13826
YMR228W	786	1101	885
YMR032W	1254	1673	1466
YMR013C-A	0	0	0
YMR001C-A	185	244	256
YMR031W-A	8	7	5
YMR153W	1638	2336	1868
YMR056C	286	465	299
YMR282C	1157	1673	1203
YMR234W	1211	1547	1221
YMR323W	2	4	15
YMR062C	2228	3152	2600
YMR247W-A	36	40	39
YMR038C	3532	5559	4790
YMR049C	8839	13537	10414
YMR272W-B	7	9	14
YMR147W	448	634	515
YML067C	2926	4073	3241
tK(CUU)M	11	17	28
tR(UCU)M1	9	11	10
YML107C	675	976	813
snR54	213	348	356
YMR231W	2972	4247	3332
YMR081C	588	816	617
YML051W	2768	4233	3298
YMR314W	5426	7739	6387
YMR113W	1306	1746	1399
YML031C-A	0	1	0
YMR263W	952	1162	1072
YML034W	2521	3789	3022
YMR131C	13671	18001	13532
YMR310C	1591	2356	1891
YMR034C	479	734	565
YML103C	14684	19996	16033
YMR306W	867	1312	1074
YMR169C	282	440	311
YMR186W	164733	240014	170022
YML059C	4739	6663	5507
YML086C	5320	7364	5954
YMR013C	842	1129	870
YMR127C	747	1059	810
YMR153C-A	27	31	30
YMR212C	5267	7798	5672
YMR296C	7511	11144	9200
YMR101C	35	58	33
YMR166C	668	976	754
YMR061W	3378	4602	3694
YMR288W	2146	3176	2543
YMR265C	1191	1534	1278
YML116W	762	1304	901
YML130C	5507	7963	5810
YMR273C	2410	3424	2523
YMR292W	994	1695	1336
YMR137C	491	666	515
YMR013W-A	0	0	0
YML076C	1718	2509	1847
YMR082C	6	5	4
tR(UCU)M2	7	8	10
YMR022W	1620	2320	1887
YML062C	800	1253	1033
YMR086C-A	103	189	132
YML035C	5405	8508	6073
YMR173W	495	1003	658
YMR194C-A	30	39	44
YMR093W	4244	6694	5395
YML036W	765	1168	942
YMR307W	71275	100168	83486
YML116W-A	103	162	117
YMR021C	986	1542	1187
YMR135C	651	1225	870
YMR121C	1486	2257	1868
YMR129W	9309	13016	10023
YML066C	276	465	367
YMR045C	5244	7787	5871
YMR050C	144	289	148
YML045W	12	4	3
YML040W	0	0	0
YML045W-A	0	0	0
YMR046C	0	0	0
YMR051C	0	0	0
YML039W	7	10	12
YBR225W	1385	1842	1427
YBR182C-A	22	22	27
YBL055C	2333	3376	2563
YBR293W	713	1179	832
YBR223W-A	0	0	0
YBR115C	0	0	0
YBR031W	65190	95946	83201
YBL108C-A	1	1	1
YBR116C	28	22	26
YBR241C	627	1124	803
YBR182C	459	640	519
YBR134W	8	16	10
YBL037W	2624	3780	2843
YBR019C	525	837	660
YBR022W	717	1076	799
YBR121C-A	0	0	0
YBR119W	650	925	784
YBL022C	12453	18135	12979
snR161	476	871	1201
YBR243C	2131	3244	2507
YBR234C	5124	7354	5764
YBR179C	2133	2996	2194
YBR247C	4260	6592	5013
YBR124W	4	5	3
YBL086C	1071	1387	1086
YBL065W	2	1	1
YBR227C	1629	2376	1844
YBR218C	20790	30425	23402
YBR244W	2280	3489	3244
YBR160W	1769	2392	1917
YBL080C	580	874	609
YBR083W	1880	2839	2157
YBR294W	628	1047	768
tI(AAU)B	0	0	0
YBR091C	333	500	426
YBR284W	249	341	250
YBR158W	13228	19067	14000
YBR111W-A	703	875	770
YBL071C	312	413	333
YBR126W-B	7	3	7
YBR229C	5922	8791	6840
YBR042C	1908	2700	2118
YBR150C	2005	2839	2216
YBR298C	393	614	437
YBR143C	17085	24177	19169
YBR014C	1263	1748	1448
tS(AGA)B	3	7	7
YBR259W	1128	1570	1176
YBR060C	2102	2804	2338
YBR180W	179	252	210
YBL034C	3286	4651	3618
YBR212W	2822	4061	3273
YBR071W	1473	1884	1596
YBL074C	388	520	408
YBL107C	659	1082	773
YBR097W	2966	4158	3164
YBR136W	4589	6323	4561
YBR039W	8588	10722	8782
YBL089W	963	1428	1079
YBL067C	4923	7092	5265
YBR270C	370	540	429
YBR087W	1947	2603	2117
YBR121C	31168	44408	33683
YBR026C	2476	3706	2941
YBR197C	746	1144	937
YBR027C	34	46	43
YBR177C	2679	3753	3338
YBR176W	739	1099	765
YBR230W-A	100	131	151
YBR090C	27	36	28
YBL071C-B	5	6	8
YBR064W	5	9	10
YBR044C	1154	1702	1254
YBL068W	2711	4086	3285
YBR216C	1867	2686	2088
YBR271W	1340	2226	1611
YBR084W	23608	30906	25097
YBR065C	949	1263	1034
YBR245C	6850	10104	7968
YBR085W	277	387	383
YBR059C	5416	7727	6233
YBR068C	14357	21391	15703
YBR285W	51	78	72
YBR041W	3715	5483	4293
