	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YDL005C	1581	2346	1784
YDR295C	1691	2404	1786
YDR543C	1	1	6
YDL208W	6436	9259	7951
YDR135C	17312	23776	17180
YDL114W	15	9	14
YDR247W	2506	3370	2786
YDL197C	1098	1654	1299
YDR229W	1062	1643	1303
YDR095C	25	25	29
YDR027C	2527	3484	2575
YDL106C	1441	1983	1563
YDR404C	2307	3210	2662
YDR256C	525	862	655
YDR518W	2454	3461	2934
YDR055W	5639	7339	6218
YDL087C	561	811	636
YDR177W	2273	3049	2536
YDL014W	15763	22340	19037
YDR289C	913	1262	942
YDL159W	715	918	819
YDR532C	504	752	617
YDR137W	1717	2355	1782
YDL153C	2091	3136	2554
YDR393W	1375	1868	1322
YDR506C	770	1103	859
YDL219W	1072	1331	1137
YDL090C	943	1442	1099
YDR033W	42060	58295	52248
YDR035W	5957	8373	6787
YDR332W	1031	1554	1065
YDR510W	2568	4168	3418
YDL055C	73736	102894	87742
YDR480W	603	884	749
YDL103C	3105	4308	3540
YDL085C-A	562	887	788
YDR350C	1384	2156	1540
YDR342C	424	532	420
YDR087C	2864	3863	3079
YDL236W	3929	5597	4805
YDR012W	26383	39769	32941
YDL121C	1796	2573	2126
YDR525W-A	539	780	723
tG(GCC)D2	91	143	101
YDL190C	5466	7655	6123
YDL047W	3160	4722	3659
YDR099W	14091	20683	16778
YDR092W	1708	2322	1994
YDR164C	2816	3759	2891
YDR058C	270	501	367
YDL020C	2726	3692	2888
YDL025C	1411	1919	1411
YDR374C	11	17	19
YDL207W	1840	2709	2269
YDR270W	1300	1618	1343
YDR152W	2986	4009	3080
YDL148C	6351	9471	7331
tI(UAU)D	31	51	42
YDR379C-A	129	168	140
YDR218C	39	43	47
YDL018C	890	1292	947
YDR507C	6319	9340	7287
YDL003W	2297	3222	2720
YDR524C-B	34499	41720	41456
YDR371W	614	1011	695
YDR359C	2581	3867	2869
YDL180W	1212	1612	1385
YDL133W	1050	1579	1221
YDR335W	5232	8229	6152
YDR351W	2755	4013	3084
YDL150W	1216	2013	1511
YDL177C	345	451	365
YDR171W	3919	4853	3437
YDR364C	1186	1752	1390
YDR309C	2709	3785	3458
YDL239C	584	874	703
YDL228C	1	0	2
YDL156W	762	1172	941
YDL016C	575	836	661
tX(XXX)D	0	4	1
YDR524W-C	19117	26472	23383
YDL085W	180	302	214
YDR300C	4265	5772	4370
YDL168W	2793	4311	3281
YDR360W	61	128	80
YDR195W	862	1260	1008
YDR321W	9114	12175	10092
YDR237W	1536	2457	1686
YDL127W	951	1368	969
YDR107C	1612	2331	1773
YDR472W	1617	2229	1836
YDL030W	973	1407	1064
YDR468C	1188	1690	1301
YDL084W	33270	47192	37800
YDL203C	1583	2408	1887
YDL025W-A	0	0	0
YDR285W	547	709	567
YDL229W	72205	107576	88385
YDR329C	1760	2519	1889
YDR034C	2249	3218	2488
YDR009W	179	266	264
tS(AGA)D2	10	14	15
YDR488C	784	1227	917
YDR103W	3046	4347	3573
YDR336W	691	943	774
YDL101C	1087	1580	1269
YDR162C	617	863	686
YDR312W	1784	2731	1974
YDL061C	10199	15499	15412
YDL040C	11826	17070	13100
YDR145W	3278	4732	3702
YDR124W	319	529	386
YDL231C	3493	5420	4001
YDR190C	5877	8235	6596
YDL064W	1909	2909	2461
YDR463W	2666	4007	3253
YDR491C	79	185	138
YDR449C	2622	4030	3185
YDL035C	2908	4248	2953
YDR074W	7804	9762	7699
