	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YHR202W	408	614	489
YHR203C	50762	66765	56972
YHR204W	2058	2949	2276
YHR205W	4217	6227	5272
YHR206W	3052	4405	3541
YHR207C	1127	1633	1369
YHR208W	14524	20288	17321
YHR209W	262	315	229
YHR210C	114	203	125
YHR211W	536	765	634
YHR212C	15	18	19
YHR212W-A	0	0	0
YHR213W	1	2	0
YHR213W-A	1	0	0
YHR213W-B	0	2	0
YHR214C-B	62176	107742	65197
YHR214C-C	0	0	0
YHR214C-D	1	3	2
YHR214C-E	1	2	1
YHR214W	239	370	341
YHR214W-A	218	312	317
YHR215W	13219	19546	12455
YHR216W	1303	1978	1919
YHR217C	0	0	1
YHR218W	3	235	264
YHR218W-A	0	34	37
YHR219C-A	1	8	4
YHR219W	40	175	205
YIL001W	669	903	730
YIL002C	1680	2659	2145
YIL002W-A	118	238	207
YIL003W	518	813	659
YIL004C	446	663	494
YIL005W	2935	4272	3465
YIL006W	330	548	380
YIL007C	386	520	397
YIL008W	418	455	394
YIL009C-A	177	300	248
YIL009W	3120	4874	3816
YIL010W	734	1118	989
YIL011W	472	671	923
YIL012W	7	9	10
YIL013C	451	695	567
YIL014C-A	97	135	84
YIL014W	1641	2603	1904
YIL015W	6467	9645	7357
YIL016W	633	1049	919
YIL017C	1318	1767	1303
YIL018W	69531	97319	82094
YIL019W	619	1198	873
YIL020C	583	946	766
YIL020C-A	7	10	7
YIL021C-A	0	0	0
YIL021W	1975	3067	2410
YIL022W	2858	4582	3421
YIL023C	811	1275	1011
YIL024C	108	150	111
YIL025C	0	0	1
YIL026C	2553	3938	2948
YIL027C	680	964	854
YIL028W	37	60	28
YIL029C	84	104	97
YIL029W-A	1	0	0
YIL030C	10678	14955	11373
YIL030W-A	167	253	253
YIL031W	2608	4102	3188
YIL032C	0	0	1
YIL033C	2686	4115	3257
YIL034C	2174	3284	2792
YIL035C	1590	2525	1844
YIL036W	1806	2829	2015
YIL037C	33	39	26
YIL038C	3099	4644	3782
YIL039W	3644	5520	4278
YIL040W	631	924	774
YIL041W	7065	10226	8167
YIL042C	548	831	614
YIL043C	7241	9717	7966
YIL044C	1582	2255	1799
YIL045W	429	588	434
YIL046W	1361	2316	1722
YIL046W-A	1	0	0
YIL047C	7952	11932	8984
YIL047C-A	137	254	155
YIL048W	3389	4942	3617
YIL049W	374	543	427
YIL050W	1125	1648	1315
YIL051C	10169	14191	11801
YIL052C	11688	18498	16257
YIL053W	31406	49989	39461
YIL054W	1	3	1
YIL055C	350	498	398
YIL056W	1614	2420	1976
YIL057C	14	15	7
YIL058W	1	2	3
YIL059C	57	113	68
YIL060W	1	1	1
YIL061C	340	560	455
YIL062C	1011	1686	1476
YIL063C	1551	2310	1899
YIL064W	1005	1690	1226
YIL065C	313	513	418
YIL066C	222	307	251
YIL066W-A	0	2	2
YIL067C	1110	1749	1355
YIL068C	2180	3110	2362
YIL068W-A	0	1	0
YIL069C	10200	15056	13368
YIL070C	1008	1656	1049
YIL071C	437	643	459
YIL071W-A	3	8	4
YIL072W	75	74	83
YIL073C	101	122	102
YIL074C	4103	6312	4372
YIL075C	16405	23817	18454
YIL076W	3921	5448	4407
YIL077C	436	711	536
YIL078W	37501	54211	40672
YIL079C	1338	1938	1497
YIL082W	0	0	0
YIL082W-A	702	1193	1035
YIL083C	1262	1658	1314
YIL084C	661	934	750
YIL085C	2427	3612	2830
YIL086C	3	4	3
YIL087C	217	326	282
YIL088C	2194	3293	2301
YIL089W	39	60	60
YIL090W	1835	2816	2103
YIL091C	2785	4557	3485
YIL092W	485	840	631
YIL093C	607	905	685
YIL094C	4123	5924	4569
YIL095W	1425	1881	1636
YIL096C	836	1301	946
YIL097W	516	768	545
YIL098C	267	388	280
YIL099W	50	55	52
YIL100C-A	0	1	3
YIL100W	1	3	0
YIL101C	147	240	205
YIL102C	0	0	1
YIL102C-A	36	71	50
YIL103W	1623	2250	1710
YIL104C	1242	1899	1426
YIL105C	2107	2743	2208
YIL105W-A	0	0	0
YIL106W	892	1318	1240
YIL107C	867	1278	929
YIL108W	2323	3167	2498
YIL109C	13323	19792	15683
YIL110W	2069	2828	2084
YIL111W	269	522	401
YIL112W	2194	3380	2611
YIL113W	68	102	87
YIL114C	831	1236	962
YIL115C	8097	11399	9372
YIL115W-A	1	0	0
YIL116W	1878	2732	1926
YIL117C	1202	1738	1326
YIL118W	1576	2051	1741
YIL119C	592	842	697
YIL120W	258	365	296
YIL121W	1698	2908	2022
YIL122W	426	585	516
YIL123W	10368	15834	14222
YIL124W	2022	2633	2226
YIL125W	10417	14850	11429
YIL126W	8760	13263	10188
YIL127C	964	1410	1112
YIL128W	3735	5519	4269
YIL129C	8963	13357	10122
YIL130W	3168	4513	3824
YIL131C	1958	2706	2055
YIL132C	122	179	158
YIL133C	24421	35921	31391
YIL134C-A	0	1	2
YIL134W	420	684	498
YIL135C	1130	1670	1398
YIL136W	417	704	508
YIL137C	5186	7718	6120
YIL138C	1541	2359	1857
YIL139C	257	388	298
YIL140W	2222	3393	2799
YIL141W	79	85	72
YIL142C-A	0	0	0
YIL142W	10174	14589	11492
YIL143C	2439	3700	2786
YIL144W	1220	1820	1483
YIL145C	1772	2460	1902
YIL146C	468	715	572
YIL147C	5149	7410	5425
YIL148W	17864	28296	25998
YIL149C	6334	9386	7095
YIL150C	951	1501	1130
YIL151C	3021	4613	3405
YIL152W	310	398	298
YIL153W	1034	1521	1328
YIL154C	852	856	953
YIL155C	1430	1767	1360
YIL156W	1876	2945	2245
YIL156W-A	1	5	6
YIL156W-B	224	300	333
YIL157C	777	1099	808
YIL158W	805	1131	935
YIL159W	1386	2156	1793
YIL160C	19	45	25
YIL161W	385	578	504
YIL162W	2353	3468	2638
YIL163C	4	18	12
YIL164C	154	193	162
YIL165C	55	98	73
YIL166C	162	224	192
YIL169C	1099	999	915
YIL170W	12	10	15
YIL171W	0	0	1
YIL171W-A	0	0	0
YIL172C	93	135	101
YIL173W	1716	2459	1680
YIL174W	0	0	0
YIL175W	0	0	1
YIL176C	0	2	2
YIL177C	23	24	61
YIL177W-A	0	0	0
YIR001C	559	763	668
YIR002C	1997	3080	2189
YIR003W	2014	2989	2249
YIR004W	1572	2546	1917
YIR005W	174	199	151
YIR006C	12751	19736	15581
YIR007W	818	1235	1018
YIR008C	1153	1601	1405
YIR009W	89	103	69
YIR010W	1175	1812	1362
YIR011C	1606	2286	1734
YIR012W	4422	6588	5174
YIR013C	4	5	8
YIR014W	146	182	171
YIR015W	142	264	223
YIR016W	301	492	400
YIR017C	42	53	56
YIR017W-A	6	1	5
YIR018C-A	0	0	0
YIR018W	348	542	432
YIR019C	59	133	124
YIR020C	0	0	0
YIR020C-B	2	0	6
YIR020W-A	0	2	0
YIR021W	524	847	631
YIR021W-A	1	1	0
YIR022W	730	1129	1017
YIR023C-A	0	0	0
YIR023W	2716	3916	3167
YIR024C	227	392	285
YIR025W	283	398	340
YIR026C	1724	2627	1996
YIR027C	60	64	57
YIR028W	29	40	48
YIR029W	182	242	186
YIR030C	132	200	123
YIR030W-A	2	1	1
YIR031C	469	645	495
YIR032C	34	50	58
YIR033W	6600	9413	7195
YIR034C	792	1085	851
YIR035C	1678	1990	1880
YIR036C	872	1213	980
YIR036W-A	3	1	0
YIR037W	1417	2244	1867
YIR038C	610	1002	748
YIR039C	211	330	208
YIR040C	0	0	0
YIR041W	0	3	2
YIR042C	45	64	41
YJL001W	2607	3875	3047
YJL002C	8725	12375	9521
YJL003W	143	226	164
YJL004C	643	928	692
YJL005W	6809	9889	7306
YJL006C	470	851	645
YJL007C	1	0	0
YJL008C	10012	14620	11015
YJL009W	0	1	1
YJL010C	4108	6210	4632
YJL011C	449	742	532
YJL012C	25420	38321	29879
YJL013C	647	940	748
YJL014W	10949	15192	11446
YJL015C	2	0	4
YJL016W	1399	2025	1523
YJL019W	1190	1686	1327
YJL020C	5994	9134	7812
YJL020W-A	0	0	0
YJL022W	2	1	1
YJL023C	357	513	424
YJL024C	421	730	583
YJL025W	615	973	782
YJL026C-A	0	0	1
YJL026W	10136	15134	13426
YJL027C	5	2	2
YJL028W	1	2	1
YJL029C	2661	3818	2998
YJL030W	371	577	447
YJL031C	1056	1500	1148
YJL032W	0	0	0
YJL033W	5176	7929	5913
YJL034W	35821	52100	38350
YJL035C	279	417	286
YJL036W	1083	1465	1107
YJL037W	3	5	13
YJL038C	5	7	10
YJL039C	11927	17356	13136
YJL041W	6897	10580	8256
YJL042W	3951	6382	5537
YJL043W	12	19	23
YJL044C	1730	2494	1988
YJL045W	38	63	49
YJL046W	761	1092	779
YJL047C	1140	1798	1415
YJL047C-A	7	7	8
YJL048C	732	973	738
YJL049W	549	870	656
YJL050W	10658	15950	11950
YJL051W	1095	1431	1252
YJL052C-A	0	0	0
YJL052W	4830	6138	4943
YJL053W	1091	1461	1096
YJL054W	2977	4156	3043
YJL055W	1715	2765	2165
YJL056C	1034	1615	1332
YJL057C	667	902	677
YJL058C	466	685	520
YJL059W	432	608	469
YJL060W	2378	3670	2714
YJL061W	3431	4882	3607
YJL062W	2343	3455	2711
YJL062W-A	201	372	269
YJL063C	696	937	800
YJL064W	4	0	3
YJL065C	471	739	587
YJL066C	584	911	649
YJL067W	10	9	9
YJL068C	1184	1978	1481
YJL069C	3004	4531	3875
YJL070C	735	1116	930
YJL071W	690	1039	713
YJL072C	298	455	349
YJL073W	1136	1675	1343
YJL074C	3608	4938	3690
YJL075C	0	0	0
YJL076W	12426	18900	14706
YJL077C	2	2	0
YJL077W-A	0	0	0
YJL077W-B	0	0	0
YJL078C	2388	3430	3308
YJL079C	1170	1922	1863
YJL080C	31342	45794	37035
YJL081C	2716	4329	3241
YJL082W	2282	2993	2463
YJL083W	924	1489	1127
YJL084C	2200	3187	2676
YJL085W	1190	1569	1181
YJL086C	9	4	4
YJL087C	2369	3315	2552
YJL088W	76	118	99
YJL089W	137	174	178
YJL090C	1015	1371	1095
YJL091C	1281	1787	1464
YJL092W	3266	4764	3705
YJL093C	1697	2719	1917
YJL094C	2683	3560	2875
YJL095W	3242	4832	3626
YJL096W	498	804	609
YJL097W	1734	2869	2180
YJL098W	4718	6750	5228
YJL099W	1109	1470	1159
YJL100W	569	835	679
YJL101C	3906	5778	4295
YJL102W	1034	1402	1139
YJL103C	391	483	357
YJL104W	666	975	682
YJL105W	48	52	40
YJL106W	249	309	255
YJL107C	584	779	569
YJL108C	392	525	362
YJL109C	24866	35533	26731
YJL110C	1289	1907	1616
YJL111W	6942	11076	8787
YJL112W	1544	2365	1716
YJL113W	785	1051	727
YJL114W	42	63	44
YJL115W	381	502	428
YJL116C	232	407	253
YJL117W	4370	6405	5143
YJL118W	204	355	271
YJL119C	26	37	33
YJL120W	0	1	0
YJL121C	3330	4953	4165
YJL122W	1316	2295	1794
YJL123C	2828	4473	3324
YJL124C	1337	1979	1560
YJL125C	1437	2245	1722
YJL126W	400	544	436
YJL127C	1234	1777	1340
YJL127C-B	15	30	35
YJL127W-A	0	0	0
YJL128C	2610	3800	2947
YJL129C	4395	6505	4927
YJL130C	68748	99318	75090
YJL131C	328	527	362
YJL132W	343	531	350
YJL133C-A	81	141	54
YJL133W	1101	1669	1238
YJL134W	1627	2445	1744
YJL135W	5	5	0
YJL136C	9987	13922	13959
YJL136W-A	0	0	0
YJL137C	528	710	515
YJL138C	31223	44320	36697
YJL139C	711	1022	772
YJL140W	1577	2113	1630
YJL141C	2850	3963	2878
YJL142C	132	178	90
YJL143W	617	1096	853
YJL144W	162	191	160
YJL145W	1675	2570	2043
YJL146W	658	863	713
YJL147C	353	522	380
YJL148W	1822	2733	2321
YJL149W	863	1291	1073
YJL150W	5	3	5
YJL151C	1239	1516	1615
YJL152W	0	0	1
YJL153C	144	223	177
YJL154C	5755	8267	6480
YJL155C	815	1095	830
YJL156C	1554	2195	1658
YJL156W-A	0	0	1
YJL157C	4027	5647	4685
YJL158C	12223	18188	16073
YJL159W	42765	61765	47545
YJL160C	36	37	33
YJL161W	54	69	73
YJL162C	620	901	678
YJL163C	220	308	241
YJL164C	844	1233	888
YJL165C	5384	6867	5626
YJL166W	748	990	912
YJL167W	8699	12509	10069
YJL168C	2158	3359	2492
YJL169W	0	3	3
YJL170C	93	139	115
YJL171C	4765	7036	5747
YJL172W	8077	11831	9009
YJL173C	817	1333	1120
YJL174W	3417	4563	3809
YJL175W	0	2	1
YJL176C	2998	4508	3456
YJL177W	20765	27692	24229
YJL178C	1900	2586	2107
YJL179W	345	380	357
YJL180C	636	1076	767
YJL181W	521	757	447
YJL182C	0	0	0
YJL183W	2929	4371	3499
YJL184W	345	567	429
YJL185C	161	236	183
YJL186W	5253	7634	5913
YJL187C	2158	3008	2387
YJL188C	5	3	8
YJL189W	1362	2531	2550
YJL190C	24622	34478	30691
YJL191W	3296	5380	4965
YJL192C	2230	3463	2584
YJL193W	669	1048	854
YJL194W	913	1360	1246
YJL195C	2	2	3
YJL196C	3577	5168	4090
YJL197C-A	0	0	0
YJL197W	3811	5915	4335
YJL198W	4415	7002	5190
YJL199C	39	29	49
YJL200C	3953	5726	4114
YJL201W	1444	2160	1694
YJL202C	0	1	1
YJL203W	316	538	474
YJL204C	1488	2018	1667
YJL205C	13	33	27
YJL206C	645	925	699
YJL207C	8142	11800	9291
YJL208C	1075	1590	1197
YJL209W	1140	1757	1328
YJL210W	595	961	702
YJL211C	14	14	11
YJL212C	4450	7482	4948
YJL213W	314	514	292
YJL214W	7	11	24
YJL215C	13	33	28
YJL216C	159	274	185
YJL217W	1561	2271	1429
YJL218W	165	180	133
YJL219W	22	31	23
YJL220W	0	0	0
YJL221C	93	135	101
YJL222W	2034	3110	2353
YJL222W-A	0	0	0
YJL222W-B	0	0	0
YJL223C	0	2	2
YJL225C	2315	3891	2947
YJL225W-A	0	0	0
YJR001W	2161	3714	3010
YJR002W	4369	6752	5035
YJR003C	1451	2127	1788
YJR004C	524	729	546
YJR005C-A	1	5	1
YJR005W	2700	3549	2842
YJR006W	1246	1891	1424
YJR007W	7334	9494	7732
YJR008W	267	438	282
YJR009C	68977	111863	87313
YJR010C-A	167	232	195
YJR010W	916	1901	811
YJR011C	318	452	383
YJR012C	202	229	189
YJR013W	773	1335	958
YJR014W	1821	3051	2281
YJR015W	4318	5877	5001
YJR016C	36440	51231	39654
YJR017C	1109	1640	1409
YJR018W	3	7	13
YJR019C	457	739	583
YJR020W	9	27	21
YJR021C	295	431	340
YJR022W	123	188	165
YJR023C	0	0	0
YJR024C	1634	2354	1943
YJR025C	578	864	611
YJR026W	0	0	0
YJR027W	18783	34132	15860
YJR028W	0	0	0
YJR029W	126048	198291	118976
YJR030C	1295	1824	1373
YJR031C	4680	6515	5137
YJR032W	1538	2185	1845
YJR033C	3015	4221	3315
YJR034W	110	183	150
YJR035W	1077	1678	1195
YJR036C	203	337	259
YJR037W	0	0	0
YJR038C	1	2	2
YJR039W	776	1119	865
YJR040W	2329	3547	2562
YJR041C	5573	7891	6219
YJR042W	2910	4119	3299
YJR043C	986	1416	1119
YJR044C	529	805	646
YJR045C	37156	60961	40566
YJR046W	2913	4417	2969
YJR047C	93	192	200
YJR048W	586	946	739
YJR049C	1792	2678	1806
YJR050W	509	713	535
YJR051W	2014	2759	1930
YJR052W	812	1275	981
YJR053W	702	1027	790
YJR054W	1162	1817	1382
YJR055W	214	291	217
YJR056C	415	681	492
YJR057W	597	870	656
YJR058C	316	532	394
YJR059W	3912	5475	4240
YJR060W	1348	1854	1625
YJR061W	618	827	702
YJR062C	1035	1499	1075
YJR063W	928	1400	1253
YJR064W	11584	17283	12779
YJR065C	6610	9343	7569
YJR066W	7524	10442	8552
YJR067C	197	306	259
YJR068W	1685	2404	1886
YJR069C	1250	2059	1530
YJR070C	7120	10541	8511
YJR071W	0	1	1
YJR072C	3383	4982	3856
YJR073C	624	1083	704
YJR074W	530	760	566
YJR075W	3894	5468	4280
YJR076C	2963	4211	3397
YJR077C	6097	9028	7143
YJR078W	133	228	131
YJR079W	1	2	0
YJR080C	1446	2053	1611
YJR082C	181	279	223
YJR083C	490	714	640
YJR084W	774	1137	947
YJR085C	462	773	639
YJR086W	457	603	569
YJR087W	52	68	55
YJR088C	1992	2873	2229
YJR089W	1371	2158	1659
YJR090C	3595	5165	3934
YJR091C	5184	6932	5742
YJR092W	5660	7778	6662
YJR093C	812	1233	974
YJR094C	191	284	233
YJR094W-A	7073	8424	8295
YJR095W	41	48	44
YJR096W	747	1090	803
YJR097W	200	306	204
YJR098C	444	597	475
YJR099W	477	733	524
YJR100C	613	929	739
YJR101W	1139	1710	1159
YJR102C	278	425	334
YJR103W	2865	3750	3212
YJR104C	11974	18568	15565
YJR105W	12673	18472	15100
YJR106W	1094	1546	1309
YJR107W	295	395	298
YJR108W	13	20	17
YJR109C	8522	11150	6403
YJR110W	871	1252	971
YJR111C	428	656	554
YJR112W	359	470	393
YJR112W-A	87	157	119
YJR113C	893	1365	1075
YJR114W	0	2	1
YJR115W	90	120	90
YJR116W	418	747	611
YJR117W	5732	7992	6748
YJR118C	992	1497	1195
YJR119C	399	572	406
YJR120W	1	2	2
YJR121W	33507	43376	34867
YJR122W	589	862	588
YJR123W	92274	131527	111737
YJR124C	1545	2236	1658
YJR125C	1985	2845	2117
YJR126C	3531	5115	3760
YJR127C	3429	4746	4492
YJR128W	1	4	3
YJR129C	498	722	542
YJR130C	853	1172	802
YJR131W	1192	1734	1310
YJR132W	5896	8117	6329
YJR133W	892	1243	935
YJR134C	2329	3102	2493
YJR135C	207	304	239
YJR135W-A	293	517	438
YJR136C	490	719	589
YJR137C	7151	13680	5881
YJR138W	2554	3742	2970
YJR139C	14779	21303	16168
YJR140C	3842	5486	4178
YJR140W-A	1	0	0
YJR141W	527	821	669
YJR142W	1065	1491	1223
YJR143C	14812	21219	16506
YJR144W	1435	2159	1822
YJR145C	66996	89381	78197
YJR146W	13	29	15
YJR147W	1368	2193	1671
YJR148W	4577	8339	4022
YJR149W	276	392	292
YJR150C	4	4	3
YJR151C	196	295	228
YJR151W-A	0	0	0
YJR152W	228	391	273
YJR153W	33	44	27
YJR154W	124	167	152
YJR155W	153	194	150
YJR156C	71	88	73
YJR157W	4	2	4
YJR158W	1	1	4
YJR159W	44	47	47
YJR160C	117	190	157
YJR161C	610	934	678
YJR162C	0	0	0
YKL001C	844	1649	727
YKL002W	979	1421	1072
YKL003C	370	558	482
YKL004W	3600	5894	4485
YKL005C	1000	1617	1175
YKL006C-A	217	270	244
YKL006W	19436	31411	27539
YKL007W	1829	2786	2178
YKL008C	2520	3589	3412
YKL009W	3333	4862	4020
YKL010C	4742	7095	5538
YKL011C	540	778	573
YKL012W	1502	2305	1786
YKL013C	1739	2793	2058
YKL014C	14725	19584	15427
YKL015W	3126	4826	3480
YKL016C	2953	3324	3019
YKL017C	1102	1568	1186
YKL018C-A	14	24	18
YKL018W	903	1319	1040
YKL019W	1581	2151	1613
YKL020C	3676	5278	4242
YKL021C	1871	2694	2240
YKL022C	1872	2775	2064
YKL023C-A	326	730	556
YKL023W	417	662	466
YKL024C	2007	3230	2392
YKL025C	2050	2712	2361
YKL026C	89	153	95
YKL027W	1441	2142	1728
YKL028W	2158	3149	2295
YKL029C	6823	11564	8865
YKL030W	5	6	7
YKL031W	6	11	18
YKL032C	2110	3070	2629
YKL033W	1603	2315	1803
YKL033W-A	2360	3560	2750
YKL034W	1448	1990	1553
YKL035W	8276	12323	10384
YKL036C	1	5	4
YKL037W	1	5	2
YKL038W	2662	3960	3159
YKL039W	3717	5616	4142
YKL040C	1306	1831	1498
YKL041W	98	186	166
YKL042W	566	895	725
YKL043W	1923	2667	1844
YKL044W	26	45	49
YKL045W	1116	1790	1343
YKL046C	2350	3554	2870
YKL047W	1112	1670	1253
YKL048C	932	1363	1097
YKL049C	483	766	621
YKL050C	463	662	579
YKL051W	711	961	817
YKL052C	794	1139	943
YKL053C-A	216	318	224
YKL053W	8	12	9
YKL054C	11723	15911	13972
YKL055C	298	401	292
YKL056C	31003	43338	37034
YKL057C	5562	8130	6534
YKL058W	555	854	662
YKL059C	944	1340	1097
YKL060C	316792	520154	409149
YKL061W	134	211	168
YKL062W	1553	1839	1690
YKL063C	598	853	656
YKL064W	3325	4728	3676
YKL065C	1645	2706	2026
YKL065W-A	6	9	5
YKL066W	251	367	327
YKL067W	1462	2360	1720
YKL068W	5137	7548	6012
YKL068W-A	150	251	194
YKL069W	714	989	858
YKL070W	4	4	3
YKL071W	42	57	45
YKL072W	1119	1514	1195
YKL073W	5235	7380	5513
YKL074C	1153	1670	1217
YKL075C	737	1045	867
YKL076C	79	147	120
YKL077W	5627	7957	6248
YKL078W	2077	3262	2345
YKL079W	1785	2491	1859
YKL080W	10424	15392	12507
YKL081W	55511	85879	68226
YKL082C	978	1862	1480
YKL083W	3	2	2
YKL084W	262	368	282
YKL085W	3207	4704	3695
YKL086W	19	14	16
YKL087C	365	549	396
YKL088W	864	1374	1140
YKL089W	548	794	592
YKL090W	415	657	486
YKL091C	498	727	528
YKL092C	2096	3005	2372
YKL093W	141	196	168
YKL094W	2341	3307	2543
YKL095W	330	484	367
YKL096C-B	0	0	0
YKL096W	1915	3618	2260
YKL096W-A	15839	24460	23326
YKL097C	0	1	4
YKL098W	628	980	722
YKL099C	1278	1922	1485
YKL100C	3659	5118	3974
YKL100W-A	0	0	0
YKL101W	7332	11347	9075
YKL102C	0	1	1
YKL103C	1320	2256	1796
YKL104C	9033	13149	10109
YKL105C	1780	2784	2017
YKL106C-A	0	0	0
YKL106W	2153	2814	2281
YKL107W	22	54	21
YKL108W	453	763	591
YKL109W	4371	6688	5235
YKL110C	1421	2115	1647
YKL111C	0	1	2
YKL112W	3487	5192	3976
YKL113C	1620	2487	1925
YKL114C	1516	2145	1750
YKL115C	47	63	42
YKL116C	1609	2247	1784
YKL117W	4304	6748	5479
YKL118W	1	1	1
YKL119C	502	817	602
YKL120W	4072	5551	4421
YKL121W	1053	1428	1067
YKL122C	1105	1622	1417
YKL123W	80	105	64
YKL124W	579	840	587
YKL125W	1364	1831	1547
YKL126W	5013	6588	5484
YKL127W	4995	7460	5594
YKL128C	2856	3658	3018
YKL129C	2886	4100	3267
YKL130C	774	991	887
YKL131W	3	4	3
YKL132C	477	671	557
YKL133C	303	494	379
YKL134C	1260	1773	1262
YKL135C	3383	4617	3484
YKL136W	5	1	0
YKL137W	199	386	297
YKL138C	518	638	442
YKL138C-A	107	205	141
YKL139W	1024	1527	1222
YKL140W	1841	2527	1993
YKL141W	1605	2359	1980
YKL142W	1707	2470	2086
YKL143W	2130	3503	2664
YKL144C	501	815	694
YKL145W	7409	11138	8693
YKL145W-A	0	0	0
YKL146W	2155	3247	2505
YKL147C	4	4	7
YKL148C	1882	2605	2030
YKL149C	552	839	660
YKL150W	2133	2585	2227
YKL151C	565	763	599
YKL152C	162013	236245	186411
YKL153W	12	31	22
YKL154W	948	1581	1133
YKL155C	1313	1931	1433
YKL156C-A	0	0	0
YKL156W	4056	5586	5178
YKL157W	10226	15078	11456
YKL159C	297	464	363
YKL160W	1857	2393	1993
YKL161C	296	415	278
YKL162C	236	341	278
YKL162C-A	0	1	0
YKL163W	101	113	112
YKL164C	14232	20288	16631
YKL165C	3675	5664	4084
YKL165C-A	0	4	2
YKL166C	1095	1532	1337
YKL167C	394	611	496
YKL168C	979	1444	1102
YKL169C	8	16	7
YKL170W	400	645	520
YKL171W	1129	1690	1266
YKL172W	4697	7252	5654
YKL173W	3189	4589	3473
YKL174C	2275	3313	2503
YKL175W	3010	4404	3444
YKL176C	4302	6393	4656
YKL177W	4	8	3
YKL178C	110	158	77
YKL179C	3098	4392	3358
YKL180W	37438	55667	46706
YKL181W	8111	12322	9315
YKL182W	161501	221438	183888
YKL183C-A	1	0	3
YKL183W	840	1249	1022
YKL184W	4007	5842	4341
YKL185W	3190	4445	3908
YKL186C	1087	1505	1176
YKL187C	343	570	368
YKL188C	294	437	345
YKL189W	618	866	664
YKL190W	783	1140	964
YKL191W	4375	6723	4954
YKL192C	1250	2091	1642
YKL193C	1251	1606	1423
YKL194C	632	1031	735
YKL195W	2801	4424	2900
YKL196C	3142	4481	3524
YKL197C	1730	2694	2013
YKL198C	1083	1608	1472
YKL201C	685	1110	926
YKL202W	12	21	29
YKL203C	6472	9558	7590
YKL204W	2577	3675	3041
YKL205W	6337	8610	6727
YKL206C	678	1159	959
YKL207W	2489	3446	2851
YKL208W	350	460	371
YKL209C	11413	17365	13519
YKL210W	26984	40360	29974
YKL211C	3037	4341	3643
YKL212W	8344	11996	9186
YKL213C	3333	4677	3548
YKL214C	809	1027	921
YKL215C	3366	5162	3861
YKL216W	19091	28464	21250
YKL217W	235	293	228
YKL218C	294	544	315
YKL219W	814	1241	1002
YKL220C	224	326	220
YKL221W	15	20	18
YKL222C	565	813	614
YKL223W	0	0	0
YKL224C	1	0	0
YKL225W	0	0	2
YKR001C	9078	13554	10829
YKR002W	1812	2690	1987
YKR003W	1915	2867	2257
YKR004C	353	557	446
YKR005C	159	235	178
YKR006C	1337	1943	1377
YKR007W	560	766	618
YKR008W	2642	3644	2990
YKR009C	314	498	382
YKR010C	1044	1428	1240
YKR011C	614	919	755
YKR012C	9	22	27
YKR013W	5264	7735	6327
YKR014C	1569	2220	1764
YKR015C	13	18	12
YKR016W	2445	3200	2490
YKR017C	629	1052	788
YKR018C	6642	10061	6958
YKR019C	694	1060	826
YKR020W	319	391	299
YKR021W	1617	2262	1836
YKR022C	583	894	687
YKR023W	641	947	749
YKR024C	2299	3650	2867
YKR025W	974	1635	1198
YKR026C	1944	2786	2109
YKR027W	1408	1973	1513
YKR028W	5691	8467	6186
YKR029C	1310	1844	1452
YKR030W	730	1144	924
YKR031C	4231	6303	4883
YKR032W	0	0	0
YKR033C	3	1	3
YKR034W	2	8	5
YKR035C	16	31	15
YKR035W-A	865	1338	989
YKR036C	1378	2072	1655
YKR037C	516	682	521
YKR038C	2090	2800	2187
YKR039W	404	620	535
YKR040C	0	4	3
YKR041W	75	129	132
YKR042W	26078	36539	32879
YKR043C	3773	5683	4898
YKR044W	936	1342	1064
YKR045C	235	299	230
YKR046C	519	730	598
YKR047W	2	3	4
YKR048C	7430	11724	9264
YKR049C	211	342	231
YKR050W	1564	2476	1835
YKR051W	655	898	714
YKR052C	611	971	716
YKR053C	274	387	333
YKR054C	8826	13804	11186
YKR055W	330	511	441
YKR056W	2836	4411	3554
YKR057W	6212	8289	7846
YKR058W	554	752	534
YKR059W	39697	60923	48334
YKR060W	762	1194	981
YKR061W	388	726	570
YKR062W	1291	2066	1494
YKR063C	1054	1656	1216
YKR064W	1553	2123	1637
YKR065C	1228	2072	1665
YKR066C	3232	5182	4041
YKR067W	1748	2583	1721
YKR068C	884	1394	1077
YKR069W	507	877	512
YKR070W	1871	2740	2159
YKR071C	3636	4987	4030
YKR072C	3522	5202	3914
YKR073C	2	7	7
YKR074W	961	1500	1197
YKR075C	396	658	437
YKR075W-A	0	0	0
YKR076W	286	470	325
YKR077W	231	360	303
YKR078W	667	990	748
YKR079C	2752	3928	2876
YKR080W	1494	2168	1554
YKR081C	3674	5437	3931
YKR082W	7655	10379	8157
YKR083C	209	250	234
YKR084C	3444	5030	3747
YKR085C	718	1121	820
YKR086W	1817	2852	2179
YKR087C	1022	1471	1084
YKR088C	1567	2221	1687
YKR089C	3206	4863	3431
YKR090W	1861	2900	2135
YKR091W	424	519	370
YKR092C	6283	10176	7959
YKR093W	5760	9759	7103
YKR094C	16191	23828	21173
YKR095W	11596	16890	13014
YKR095W-A	175	325	292
YKR096W	2692	3924	2925
YKR097W	159	230	208
YKR098C	613	867	661
YKR099W	2371	3737	2823
YKR100C	1166	1654	1340
YKR101W	359	596	453
