	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YCL037C	7009	9960	8697
YCL038C	929	1269	1013
YCL039W	854	1277	1089
YCL040W	5485	9318	6479
YCL041C	48	88	89
YCL042W	118	237	189
YCL043C	27585	46282	35754
YCL044C	839	1224	983
YCL045C	10215	13773	10950
YCL046W	1	0	0
YCL047C	590	689	598
YCL048W	12	7	17
YCL048W-A	0	1	1
YCL049C	362	539	414
YCL050C	5788	8996	7040
YCL051W	1271	1890	1421
YCL052C	1452	2188	1577
YCL054W	5205	8472	6468
YCL054W-A	0	0	0
YCL055W	743	1102	819
YCL056C	153	207	173
YCL057C-A	576	867	812
YCL057W	7329	10445	8186
YCL058C	4	10	6
YCL058W-A	74	129	122
YCL059C	3367	4494	3576
YCL061C	1934	3041	2233
YCL063W	1024	1605	1341
YCL064C	12361	16818	14787
YCL065W	0	0	0
YCL066W	0	0	1
YCL067C	255	317	289
YCL068C	0	0	2
YCL069W	0	0	1
YCL073C	1	1	2
YCL074W	0	0	1
YCL075W	0	1	0
YCL076W	0	0	2
YCR001W	0	0	0
YCR002C	2541	3624	3025
YCR003W	418	733	502
YCR004C	2742	4577	3261
YCR005C	2995	4221	2339
YCR006C	103	173	147
YCR007C	130	185	166
YCR008W	5279	7420	5597
YCR009C	3319	4793	3942
YCR010C	24	43	37
YCR011C	6059	9084	6256
YCR012W	189954	322788	236814
YCR013C	22	42	35
YCR014C	606	888	623
YCR015C	547	846	673
YCR016W	1502	2328	1758
YCR017C	7824	11519	8859
YCR018C	370	555	373
YCR018C-A	68	97	74
YCR019W	531	782	646
YCR020C	79	109	93
YCR020C-A	184	250	233
YCR020W-B	119	172	174
YCR021C	3776	3341	3747
YCR022C	4	10	9
YCR023C	1572	2306	1728
YCR024C	472	665	522
YCR024C-A	43	68	68
YCR024C-B	996	1729	1485
YCR025C	21	24	21
YCR026C	2105	3195	2471
YCR027C	384	648	473
YCR028C	1268	1914	1441
YCR028C-A	1617	2487	2197
YCR030C	2392	3511	2908
YCR031C	28557	43513	38998
YCR032W	3120	4894	3584
YCR033W	5026	7523	5848
YCR034W	5186	6945	5709
YCR035C	2105	3156	2408
YCR036W	1187	1822	1315
YCR037C	2114	3065	2432
YCR038C	607	841	688
YCR038W-A	0	0	0
YCR039C	255	317	289
YCR040W	0	0	1
YCR041W	104	106	95
YCR042C	2519	3996	3158
YCR043C	646	993	757
YCR044C	1535	2326	1779
YCR045C	7	18	13
YCR045W-A	84	131	112
YCR046C	634	1049	753
YCR047C	671	1156	1017
YCR047W-A	0	1	0
YCR048W	2458	3434	2885
YCR049C	1	0	1
YCR050C	0	1	0
YCR051W	1553	2319	1909
YCR052W	2852	4357	3490
YCR053W	17144	24648	19485
YCR054C	1156	1691	1331
YCR057C	8298	12328	9404
YCR059C	1106	1460	1213
YCR060W	273	378	257
YCR061W	998	1745	1619
YCR063W	110	157	163
YCR064C	23	30	33
YCR065W	1923	2977	2485
YCR066W	534	804	557
YCR067C	4605	6646	5024
YCR068W	781	1090	868
YCR069W	1911	2591	2301
YCR071C	320	528	449
YCR072C	2218	3781	2943
YCR073C	1281	1776	1310
YCR073W-A	1120	1585	1298
YCR075C	334	423	382
YCR075W-A	96	127	130
YCR076C	476	589	502
YCR077C	7785	10579	8630
YCR079W	621	828	688
YCR081C-A	3	2	4
YCR081W	2704	3877	2830
YCR082W	775	1402	1109
YCR083W	411	505	371
YCR084C	8192	11814	10411
YCR085W	4	5	8
YCR086W	210	390	277
YCR087C-A	726	1126	959
YCR087W	5	13	8
YCR088W	9028	14472	11371
YCR089W	774	1304	1148
YCR090C	848	1248	972
YCR091W	473	680	551
YCR092C	1448	1971	1592
YCR093W	20682	29723	23485
YCR094W	1559	2240	1795
YCR095C	719	1045	772
YCR095W-A	2	2	5
YCR096C	38	178	111
YCR097W	525	800	710
YCR097W-A	0	0	3
YCR098C	108	150	124
YCR099C	80	74	61
YCR100C	155	243	191
YCR101C	81	151	112
YCR102C	34	44	47
YCR102W-A	0	3	1
YCR104W	0	4	2
YCR105W	25	27	37
YCR106W	1114	1499	1124
YCR107W	400	633	461
YCR108C	0	0	0
YDL001W	597	916	732
YDL002C	544	871	643
YDL003W	1673	2446	2028
YDL004W	2137	2565	2225
YDL005C	1273	1932	1437
YDL006W	742	1050	820
YDL007C-A	0	0	0
YDL007W	5552	8092	6170
YDL008W	403	708	581
YDL009C	3	6	3
YDL010W	512	795	624
YDL011C	0	0	1
YDL012C	548	776	684
YDL013W	1063	1548	1211
YDL014W	10278	14917	12334
YDL015C	4631	7173	5680
YDL016C	2	1	0
YDL017W	656	924	730
YDL018C	552	818	595
YDL019C	4005	5963	4393
YDL020C	1993	2787	2180
YDL021W	182	247	186
YDL022C-A	1	1	0
YDL022W	6271	8834	7648
YDL023C	4	4	2
YDL024C	107	167	108
YDL025C	1269	1700	1278
YDL025W-A	0	0	0
YDL026W	0	1	1
YDL027C	873	1252	995
YDL028C	1650	2195	1760
YDL029W	5980	8350	6429
YDL030W	756	1116	812
YDL031W	6957	10352	7987
YDL032W	2	4	1
YDL033C	697	1203	899
YDL034W	0	0	1
YDL035C	2689	3955	2753
YDL036C	1123	1630	1280
YDL037C	2232	3102	3139
YDL039C	4466	6647	6442
YDL040C	10113	14727	11232
YDL041W	1	0	6
YDL042C	954	1437	1217
YDL043C	511	703	513
YDL044C	517	754	572
YDL045C	641	973	771
YDL045W-A	256	430	285
YDL046W	1371	2209	1900
YDL047W	2008	3025	2403
YDL048C	3969	4504	4857
YDL049C	201	255	218
YDL050C	0	0	1
YDL051W	4750	6775	5197
YDL052C	1945	2869	2093
YDL053C	780	1163	905
YDL054C	928	1368	966
YDL055C	48976	69973	59791
YDL056W	2071	2914	2346
YDL057W	289	372	277
YDL058W	8787	13008	9726
YDL059C	170	313	231
YDL060W	6261	9081	7028
YDL061C	3215	4855	4835
YDL062W	0	0	0
YDL063C	4594	6757	4954
YDL064W	1191	1793	1463
YDL065C	1066	1556	1141
YDL066W	8739	13057	10216
YDL067C	155	275	277
YDL068W	1	4	2
YDL069C	246	344	279
YDL070W	6228	8993	7739
YDL071C	10	18	11
YDL072C	1905	2997	2515
YDL073W	2108	3171	2456
YDL074C	4092	6195	4583
YDL075W	18899	27569	25781
YDL076C	716	999	777
YDL077C	2145	3087	2188
YDL078C	3393	5114	3789
YDL079C	150	207	164
YDL080C	959	1410	1086
YDL081C	8951	12305	14489
YDL082W	18992	28912	24529
YDL083C	25050	35015	32324
YDL084W	25067	35923	28609
YDL085C-A	84	163	119
YDL085W	69	124	94
YDL086C-A	30	44	32
YDL086W	1357	2244	1821
YDL087C	410	584	450
YDL088C	1990	2912	2341
YDL089W	816	1218	941
