,SNF2_14,SNF2_15,SNF2_31,SNF2_33,SNF2_42,SNF2_44,WT_02,WT_18,WT_20,WT_39,WT_42,WT_45,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YGR051C,339.0201866,562.0445104,528.1814418,338.7735193,322.5531902,395.6228296,83.01867808,47.63842366,78.64569444,80.21231444,77.03450683,57.35393696,242.5082694,2.557963504,0.187497651,13.64264297,2.49E-28,2.65E-26
YNL160W,301.7652211,431.2874386,397.2457062,320.4614372,342.7127645,311.0622248,1407.21784,1588.308353,2884.179602,2160.385002,1527.653528,1505.131174,1098.117524,-2.396293593,0.176905734,-13.54559598,4.13E-27,4.33E-25
YOR178C,314.4319094,297.3668892,304.0372165,306.4221742,301.2736394,339.75243,1003.398591,1064.285692,945.2607505,717.9002142,1148.406725,872.5991837,634.5946179,-1.625345664,0.107896494,-15.06393406,9.06E-26,9.19E-24
YLR312C,327.0985977,294.2034116,332.8874633,293.6037167,267.6743488,338.2424192,98.39250736,100.6903046,119.4809589,112.2972402,92.4414082,104.0564285,206.7557337,1.57263824,0.10284087,15.29195776,9.04E-26,9.19E-24
YCR018C,80.47072562,94.90432634,90.98923997,104.9892708,88.47813202,114.0058154,347.4485416,291.2439992,272.2350961,278.0693567,292.731126,303.9758659,196.628458,-1.633963986,0.108850238,-15.01112006,1.03E-25,1.03E-23
YJR147W,265.2553548,219.3344431,266.3099707,218.52418,264.3144197,244.6217496,570.8815271,621.4648905,626.1407211,632.3404121,612.7206159,699.7180309,436.802193,-1.352837585,0.082198799,-16.45811872,1.61E-25,1.58E-23
YLR111W,124.431585,100.1767889,104.3047385,126.3533667,88.47813202,175.1612528,15.37382927,19.48844604,10.58692041,5.347487629,18.96234014,11.47078739,66.6779729,3.134237535,0.257646978,12.16485269,7.72E-25,7.50E-23
YOR306C,529.7656103,412.3065733,528.1814418,545.7000473,477.1099271,492.2635208,1208.382981,1271.079759,1347.563726,1116.288043,1233.737256,1375.675145,878.1711691,-1.336744471,0.082134667,-16.27503362,1.13E-24,1.08E-22
YOR100C,145.2943657,156.0648922,155.3474829,137.3406159,129.9172571,169.1212096,44.07164392,34.6461263,39.32284722,25.40056624,45.03555784,30.31565239,92.65651811,2.033032342,0.150857264,13.47652928,1.46E-24,1.38E-22
YMR015C,271.2161493,318.4567395,300.7083419,265.5251908,283.3540177,252.1718036,750.2428686,637.7052622,674.5380715,731.2689333,722.939218,826.7160341,502.9035525,-1.368312797,0.086197404,-15.87417644,3.62E-24,3.37E-22
YMR006C,604.2755414,559.9355254,731.2427944,543.2584363,483.8297852,520.953726,1895.080689,1737.719772,1716.593523,2113.594485,1722.017514,2577.649795,1267.179299,-1.773652981,0.1273134,-13.93139281,7.31E-24,6.71E-22
YBL044W,105.8041022,196.1356078,176.4303556,98.88524347,116.4775409,118.5358478,22.54828294,19.48844604,7.562086004,14.70559098,10.66631633,16.38683913,75.30218826,3.113731407,0.262907442,11.84345099,1.37E-23,1.24E-21
YKL037W,284.6279369,311.0752919,371.724334,256.9795525,314.7133557,345.7924732,109.6666488,86.61531575,101.3319525,82.88605825,105.478017,86.85024739,204.8117653,1.716329756,0.12383903,13.85936041,4.53E-23,4.05E-21
YDR399W,602.0402435,926.8989206,845.5341568,693.4175098,683.1855764,616.8394117,2603.301757,2184.87134,2971.899799,2814.115365,1964.972497,2947.99236,1654.589078,-1.827473565,0.137160182,-13.32364496,1.86E-22,1.64E-20
YIL011W,159.4512526,162.3918473,165.3341068,173.9647802,151.1968079,180.4462906,502.2117563,382.1900807,505.147345,602.9292302,455.0961634,560.4298983,333.3991299,-1.595715076,0.113490275,-14.06036838,2.35E-22,2.04E-20
YLR227W-B,13.4117876,4.217970059,8.876999022,11.59765201,6.719858128,11.325081,57.39562929,97.44223022,74.10844284,113.6341121,100.737432,63.90867261,46.94798891,-3.115330802,0.272205715,-11.44476632,3.70E-22,3.18E-20
YHR214C-B,5.96079449,4.217970059,2.219249755,7.32483285,5.599881774,3.775027,52.27101953,46.55573222,37.81043002,65.50672346,62.81275173,52.43788522,28.87435817,-3.38874017,0.302032768,-11.21977655,5.65E-22,4.79E-20
YJL077C,354.6672722,576.8074056,529.2910667,365.020837,416.631204,380.5227216,83.01867808,108.2691447,120.9933761,124.3290874,101.9225783,123.7206354,273.7661672,1.984850489,0.155448051,12.76857748,6.36E-22,5.32E-20
YIL056W,504.4322337,662.2212993,613.6225574,542.0376309,587.9875862,604.0043199,1790.53865,1555.827609,1258.331111,1505.317768,1483.803116,1655.070752,1063.599553,-1.399619098,0.095168996,-14.70667084,1.65E-21,1.36E-19
YGR155W,3209.142734,3204.602753,2942.725176,3062.390534,2907.458617,2763.319764,6506.204549,6024.09521,5868.178739,6836.762934,6115.354696,6864.446912,4692.056885,-1.079180598,0.061888472,-17.43750599,4.05E-21,3.31E-19
YMR173W,125.1766843,141.301997,100.9758639,94.00202157,75.03841577,83.80559939,368.9719026,442.8208018,461.2872462,510.6850686,485.9099662,312.9886274,266.9136829,-2.05602697,0.166302687,-12.36316142,4.12E-21,3.32E-19
YPR009W,219.8042968,233.0428458,186.4169795,241.1090813,216.1554365,240.0917172,621.1027027,587.9014557,604.9668803,532.0750191,538.0564016,491.6051739,392.6939992,-1.329180992,0.089572005,-14.8392457,1.05E-20,8.37E-19
YLR258W,1469.335842,1438.32779,1117.392252,1093.231303,1355.171389,1177.808424,3596.451128,6238.468117,7177.932035,4767.285221,6235.054468,3796.830627,3288.607383,-2.055705093,0.169310747,-12.14161018,1.99E-20,1.55E-18
YIL119C,98.35310909,61.16056586,72.12561705,110.4828955,85.11820296,123.8208856,600.6042637,501.2861399,388.6912206,294.1118196,425.467507,437.5286048,266.5625693,-2.255416087,0.19101976,-11.80723966,1.97E-20,1.55E-18
YBL005W,352.4319742,285.7674715,285.1735936,318.0198262,338.2328591,319.3672842,758.4422442,735.1474924,633.7028071,741.9639085,732.4203881,783.2909104,523.6633966,-1.206983739,0.077796056,-15.51471632,5.06E-20,3.90E-18
YPR124W,1055.805724,989.1139789,1036.389636,1179.298089,1085.257088,1203.478607,2585.878084,2698.067086,2624.043843,2109.58387,2612.062355,2416.23943,1799.601483,-1.198541407,0.077216947,-15.5217405,7.38E-20,5.62E-18
YJR078W,149.0198623,199.2990853,214.1576014,153.2110871,161.2765951,146.4710476,42.02180002,44.39034932,51.42218483,29.41118196,46.2207041,49.16051739,107.1718347,1.949997568,0.160372333,12.15918935,7.73E-20,5.82E-18
YDR010C,78.23542768,74.86896856,88.76999022,68.97550933,78.39834483,80.03057239,14.34890732,17.32306315,16.63658921,13.36871907,21.33263266,13.92881326,47.18479481,2.279271928,0.196967544,11.57181471,8.33E-20,6.20E-18
YAR009C,8.196092424,14.76289521,4.438499511,4.8832219,8.959810838,5.2850378,55.34578539,50.886498,46.88493322,52.13800438,55.70187417,54.89591109,30.19821366,-2.824542077,0.258472844,-10.9278098,1.20E-19,8.83E-18
YGR067C,248.86317,283.6584865,265.2003458,218.52418,237.4349872,289.9220736,81.99375613,87.6980072,102.8443697,66.84359536,94.81170072,84.39222152,171.8489078,1.575540185,0.11975725,13.15611528,1.34E-19,9.77E-18
YDL241W,96.86291047,80.14143113,97.64698924,103.1580626,92.95803744,95.13068039,351.5482294,303.1536051,468.8493322,296.7855634,247.6955681,294.9631044,210.7411262,-1.786553596,0.148200095,-12.05500977,1.96E-18,1.41E-16
YNR067C,382.981046,597.8972559,447.1788257,433.3859436,469.2700926,384.2977486,1350.847132,1324.13164,1091.965219,1351.577498,1135.370116,1416.642243,865.4620634,-1.502310246,0.115959427,-12.95548178,2.72E-18,1.94E-16
YOR108W,458.9811757,428.123961,466.0424486,479.7765517,471.5100453,395.6228296,1249.379859,1044.797246,951.3104193,1260.670209,1020.410929,1321.598576,795.6853542,-1.344525898,0.098053938,-13.712105,3.56E-18,2.51E-16
YAL061W,424.7066074,745.526208,697.9540481,426.0611108,557.7482247,438.6581374,1785.41404,1988.904188,3133.72844,2589.520884,1917.566647,2178.630262,1407.0349,-2.048300937,0.180054556,-11.37600174,4.02E-18,2.80E-16
YPL057C,836.0014273,856.2479221,709.0502969,744.080937,742.5443232,765.5754755,1886.881313,1888.213883,1615.26157,1732.585992,1562.022769,1603.452209,1245.159843,-1.14464397,0.075506623,-15.15951739,6.85E-18,4.73E-16
YBR093C,336.0397894,520.9193023,559.2509384,299.0973414,375.1920788,358.627565,1431.815966,1303.560502,1769.528125,2105.573254,1375.954807,2223.69407,1054.937812,-2.062415464,0.183106809,-11.26345585,7.14E-18,4.88E-16
YPL134C,988.7467861,768.7250433,1020.854887,866.1614845,760.4639449,964.1418957,258.2803318,286.9132334,411.3774786,307.4805387,305.7677348,322.0013889,605.076229,1.509791505,0.118870921,12.70110037,9.91E-18,6.71E-16
YKL182W,4847.616119,4089.321973,3720.572215,4209.94768,4066.634144,3765.211929,8496.602979,9267.838785,9110.801217,10497.11822,8946.669109,10541.65361,6796.665665,-1.202742133,0.082925796,-14.5038359,1.18E-17,7.92E-16
YPL062W,64.82364008,95.95881885,120.9491117,65.31309291,70.55851035,68.70549139,11.27414147,16.2403717,10.58692041,14.70559098,13.03660885,9.832103478,46.83203351,2.68174995,0.258348725,10.38034907,1.52E-17,1.01E-15
YGR177C,114.0001946,87.52287873,119.8394868,90.95000788,89.59810838,107.2107668,350.5233075,286.9132334,243.4991693,304.8067949,302.212296,403.1162426,208.3493739,-1.639964651,0.137069298,-11.96449296,4.52E-17,2.97E-15
YMR244W,111.7648967,184.5361901,181.9784799,123.9117557,118.7174936,112.4958046,25.62304879,23.81921183,33.27317842,24.06369433,24.88807144,40.96709783,83.83657694,2.252793309,0.211263446,10.66343163,5.35E-17,3.48E-15
YBR296C,116.2354926,153.9559072,128.7164858,113.5349092,136.6371153,117.025837,523.7351173,926.7838785,2026.639049,649.7197469,1034.632684,484.2310963,534.3206099,-2.881926726,0.288345204,-9.994710103,7.24E-17,4.67E-15
YOL104C,13.4117876,12.65391018,14.42512341,12.20805475,17.91962168,13.5900972,76.86914637,67.12686971,71.08360844,58.82236392,46.2207041,72.10209217,39.70278163,-2.24519138,0.211304041,-10.62540672,7.34E-17,4.68E-15
YDR261C-D,5.96079449,8.435940119,6.657749266,18.31208212,5.599881774,8.305059399,61.4953171,72.54032694,63.52152243,48.12738866,85.33053065,58.99262087,36.93993449,-2.803022663,0.282443959,-9.924172836,1.76E-16,1.11E-14
YHR216W,823.334739,955.3702185,965.3736436,899.733635,837.7423133,768.5954971,1912.504362,1868.725437,2291.312059,2676.417558,2011.193201,2213.042625,1518.612107,-1.305323572,0.100099326,-13.04028335,4.30E-16,2.69E-14
YDL227C,40.98046212,32.68926796,42.16574535,51.27382995,39.19917242,41.525297,179.3613415,114.7652934,124.0182105,168.4458603,156.4393062,216.3062765,100.5975053,-1.947495787,0.180019912,-10.81822433,4.46E-16,2.77E-14
YDR345C,16883.20529,18284.90021,20733.34084,17427.60856,14830.72689,16293.77154,37964.13401,37869.29874,35556.92839,38695.75736,37903.34765,42398.48822,27903.45897,-1.141285236,0.080529193,-14.17231683,8.37E-16,5.14E-14
YDR133C,2599.651497,2762.770389,3080.318661,2609.471703,2430.34869,3250.298247,6763.459959,5910.412609,6147.975921,5618.872626,6332.236462,6264.6886,4480.875447,-1.146415258,0.081336297,-14.09475594,9.52E-16,5.80E-14
YJR148W,979.8055943,987.0049939,1031.951136,836.8621531,1005.738767,896.1914097,1993.473196,2649.345971,3186.663042,2060.119609,2794.574879,2364.620887,1732.19597,-1.391542964,0.117170369,-11.87623606,1.38E-14,8.34E-13
YPR015C,216.8238996,318.4567395,289.6120931,186.7832377,276.6341596,225.7466146,73.79438052,59.54802958,90.74503204,68.18046727,63.99789798,91.76629913,163.5074042,1.749517904,0.165009139,10.60255159,1.83E-14,1.10E-12
YGR050C,211.6082044,285.7674715,262.981096,200.2120979,275.5141833,227.2566254,81.99375613,72.54032694,98.30711805,90.90728969,97.18199324,77.83748587,165.1756374,1.499038954,0.132302694,11.33037361,2.16E-14,1.28E-12
