	SNF2_06	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_22	WT_18	WT_20	WT_39	WT_42	WT_45
YGR027C	12836	13091	11102	19469	10182	15101	14101	10573	9163	10928	11086	15780
YGL259W	33	22	20	34	20	35	40	20	25	20	14	31
YGR294W	20	5	12	7	1	7	13	4	2	3	6	8
YGR124W	3633	8000	7258	10326	6932	7240	8472	7097	5971	6906	6488	10877
YGL103W	123	759	563	600	291	373	520	372	411	815	437	671
YGL062W	3197	2326	2656	4164	2076	3195	1621	1543	1012	1032	1370	1748
YGR049W	1340	444	479	694	377	529	1168	330	278	304	373	644
snR39	5	11	13	22	15	17	21	20	10	15	12	18
YGR076C	232	165	154	350	161	341	429	221	166	136	208	215
YGL161C	2242	2013	1730	2572	1596	2066	1686	1215	1159	1078	1240	1575
YGR062C	241	345	310	424	242	371	324	218	217	176	221	366
tV(AAC)G1	0	1	2	1	1	2	2	1	0	0	2	0
YGL237C	1053	567	584	817	489	698	654	300	262	282	308	495
YGR024C	424	566	542	1043	518	839	726	586	394	497	500	733
YGR184C	2465	1093	1178	2539	1359	1922	1980	1242	962	1001	1298	1585
YGR292W	60	38	39	64	40	57	55	42	33	18	50	44
YGR151C	2	0	0	7	1	1	0	2	0	0	2	0
YGL034C	38	39	36	41	19	43	15	9	5	7	7	12
YGL067W	331	433	469	743	445	561	664	397	327	339	410	591
YGR072W	888	276	258	1016	381	724	1031	428	235	307	435	540
YGL229C	367	192	128	385	244	359	428	273	209	173	240	283
YGR055W	977	1145	1124	2022	1025	1245	1438	998	1644	1106	880	1401
YGL044C	2058	437	503	896	419	583	1013	503	365	430	500	762
YGL054C	751	845	845	1472	786	1254	1491	912	634	736	833	1183
YGL119W	469	257	257	592	253	430	615	324	207	254	314	452
YGR068W-A	0	0	0	0	0	0	0	0	0	0	0	0
