"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOL136C",752.687089854254,-1.58794951295635,0.188886463203542,-8.40689949943736,4.2105162735361e-09,1.39655737785603e-07
"YDR365W-B",9.23868030730956,-3.94834234343911,0.59885105345768,-6.59319595522452,4.24922875888116e-09,1.40245481204452e-07
"YNL024C",258.425336686929,-1.27979178963174,0.136681002915582,-9.36334795861996,5.81049475018253e-09,1.90834876599132e-07
"YDL048C",1422.9818716402,-1.21714746998785,0.126369019610196,-9.63169195853798,6.93338024605183e-09,2.26603159261206e-07
"YMR120C",1913.44587190969,-2.41377495302255,0.338033583002838,-7.14063653551927,7.50305700021458e-09,2.44031465540959e-07
"YNL248C",737.200934222736,-1.3554241202274,0.151723727020848,-8.93350135039296,8.59993396062343e-09,2.78355350416314e-07
"YGR153W",139.2515837016,1.17696860566953,0.120378821953639,9.77720654321412,9.34810391485827e-09,3.01116808795915e-07
"YGR107W",18.575090943684,2.41311343558286,0.340241298227269,7.09235900566953,9.39359853492832e-09,3.01134498488133e-07
"YOR383C",26023.9816803766,1.30164696202196,0.14273740135849,9.11917233768904,9.75809119588499e-09,3.11329576249664e-07
"YDL214C",109.679195493892,1.4300225713089,0.166005666262129,8.61429976161678,1.05729834592106e-08,3.35729806524698e-07
"YOL164W-A",41.2948522256503,1.54674082523231,0.189013312926667,8.18323747297317,1.53041490653151e-08,4.83668861969863e-07
"YOR092W",515.075008623868,-1.01418901757176,0.0930699899355353,-10.8970573465651,1.64971586470814e-08,5.18924708617115e-07
"YKR069W",464.452330781903,0.955711696129359,0.0829305806763367,11.5242373601522,1.95246376371414e-08,6.11285383966577e-07
"YJR095W",26.2336124075147,1.87617886942997,0.250544121250788,7.48841705031254,1.97849551278615e-08,6.16554415612427e-07
"YGR044C",479.121843160522,-1.07751005342897,0.105235262077799,-10.2390589632625,2.0348542823593e-08,6.31181652398486e-07
"YDR525W-A",353.327968164813,1.28006445827492,0.142488341770178,8.98364345020985,2.19269751026263e-08,6.70825265696785e-07
"YOR032C",165.156328754056,-1.05512492852395,0.101377764491948,-10.4078535743185,2.17762833066126e-08,6.70825265696785e-07
"YGL162W",499.711569176158,-1.2941606912105,0.145048002812984,-8.92229238674255,2.18561062009577e-08,6.70825265696785e-07
"YOR340C",482.787589441052,-1.31757559115165,0.150265845699614,-8.76829718035545,2.65118259081295e-08,8.07405607202126e-07
"YJR070C",1554.0778259401,-1.26328244445736,0.140686682441088,-8.97940318541778,2.8911392663466e-08,8.76499234593767e-07
"YFL021C-A",51.685322008578,1.79187582036375,0.239134957065404,7.49315717933147,3.28981668926459e-08,9.92872604417691e-07
"YDR044W",2098.4397411824,-1.58179612705958,0.200506901297872,-7.88898594921516,3.42033969468891e-08,1.02763569302313e-06
"YCL036W",106.651447487475,-1.84686604250589,0.250757393087642,-7.3651509124614,3.91089896785576e-08,1.16977781627829e-06
