,myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
4322,0.711,0.392890607,0.422,2.540722576,0.502,0.078,6,Itgb5
4323,0.711,0.38355312,0.422,0.979476771,0.84,0.543,6,Rnf7
4324,0.711,0.408603848,0.422,3.891150544,0.455,0.033,6,Slc5a6
4325,0.711,0.429147535,0.422,4.269955381,0.444,0.022,6,Angptl2
4326,0.71,0.403397119,0.42,1.729022184,0.605,0.201,6,Tmem132a
4327,0.709,0.331550371,0.418,0.583606944,0.994,0.933,6,Cox7a2
4328,0.709,0.324921069,0.418,0.65389516,0.957,0.702,6,Tspan3
4329,0.709,0.246661126,0.418,0.665834278,0.743,0.27,6,Serpinh1
4330,0.709,0.394612409,0.418,1.360855642,0.706,0.323,6,Gtf2i
4331,0.708,0.391849076,0.416,8.535884019,0.418,0.001,6,Cdh3
4332,0.707,0.408992902,0.414,2.9924112,0.457,0.039,6,Aebp1
4333,0.707,0.407098464,0.414,1.660912541,0.621,0.235,6,Hint2
4334,0.706,0.777063384,0.412,2.16037527,0.603,0.255,6,Bc1
4335,0.706,0.396413805,0.412,3.011352401,0.471,0.06,6,Fzd4
4336,0.706,0.379532329,0.412,1.373034983,0.681,0.294,6,Cox20
4337,0.705,0.407498327,0.41,1.188159765,0.759,0.415,6,Ghitm
4338,0.705,0.417214663,0.41,2.060341147,0.551,0.155,6,Fuom
4339,0.704,0.379115998,0.408,2.365273186,0.494,0.081,6,Tuba1c
4340,0.704,0.316149314,0.408,0.704832684,0.881,0.586,6,Ctsb
4341,0.704,0.405497007,0.408,0.89058219,0.893,0.676,6,Aplp2
4342,0.704,0.409965739,0.408,5.623973166,0.418,0.01,6,Eps8l2
4343,0.703,0.408101302,0.406,4.018139584,0.432,0.026,6,Ecm2
4344,0.703,0.402903384,0.406,3.153080511,0.459,0.055,6,Septin10
4345,0.703,0.441662701,0.406,1.607691843,0.634,0.251,6,Etfb
4346,0.703,0.406848683,0.406,1.959762006,0.558,0.162,6,Ptprf
4347,0.702,0.456016455,0.404,3.430742698,0.451,0.049,6,Maob
4348,0.702,0.36689361,0.404,1.103397035,0.671,0.255,6,Nfkbiz
4349,0.702,0.108403775,0.404,0.301596774,0.586,0.164,6,Trf
4350,0.702,0.414541646,0.404,1.443555633,0.66,0.311,6,Amfr
4351,0.702,0.449154738,0.404,2.127822779,0.527,0.129,6,Cebpb
4352,0.701,0.298044328,0.402,0.494927478,1,0.975,6,Cox7c
4353,0.701,0.364009095,0.402,0.67875996,0.975,0.869,6,Atp5mj
4354,0.701,0.539676109,0.402,2.219069621,0.541,0.158,6,Ifi27
