run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias	Lane	Sample	BiolRep	label
ERR458807	SAMEA2401011	ERX425154	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458807/ERR458807.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458807	mu_sample308	7	SNF2	44	SNF2_44
ERR458993	SAMEA2401202	ERX425340	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458993/ERR458993.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458993	wt_sample123	4	WT	18	WT_18
ERR458994	SAMEA2401203	ERX425341	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458994/ERR458994.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458994	wt_sample124	5	WT	18	WT_18
ERR458995	SAMEA2401204	ERX425342	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458995/ERR458995.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458995	wt_sample125	6	WT	18	WT_18
ERR458990	SAMEA2401199	ERX425337	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458990/ERR458990.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458990	wt_sample120	1	WT	18	WT_18
ERR458991	SAMEA2401200	ERX425338	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458991/ERR458991.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458991	wt_sample121	2	WT	18	WT_18
ERR458992	SAMEA2401201	ERX425339	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458992/ERR458992.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458992	wt_sample122	3	WT	18	WT_18
ERR458996	SAMEA2401205	ERX425343	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458996/ERR458996.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458996	wt_sample126	7	WT	18	WT_18
ERR458880	SAMEA2401089	ERX425227	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458880/ERR458880.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458880	wt_sample10	3	WT	2	WT_2
ERR458881	SAMEA2401090	ERX425228	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458881/ERR458881.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458881	wt_sample11	4	WT	2	WT_2
ERR458882	SAMEA2401091	ERX425229	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458882/ERR458882.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458882	wt_sample12	5	WT	2	WT_2
ERR458884	SAMEA2401093	ERX425231	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458884/ERR458884.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458884	wt_sample14	7	WT	2	WT_2
ERR458878	SAMEA2401087	ERX425225	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458878/ERR458878.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458878	wt_sample8	1	WT	2	WT_2
ERR458879	SAMEA2401088	ERX425226	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458879/ERR458879.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458879	wt_sample9	2	WT	2	WT_2
ERR458883	SAMEA2401092	ERX425230	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458883/ERR458883.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458883	wt_sample13	6	WT	2	WT_2
ERR459005	SAMEA2401214	ERX425352	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459005/ERR459005.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459005	wt_sample135	2	WT	20	WT_20
ERR459007	SAMEA2401216	ERX425354	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459007/ERR459007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459007	wt_sample137	4	WT	20	WT_20
ERR459008	SAMEA2401217	ERX425355	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459008/ERR459008.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459008	wt_sample138	5	WT	20	WT_20
ERR459009	SAMEA2401218	ERX425356	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459009/ERR459009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459009	wt_sample139	6	WT	20	WT_20
ERR459004	SAMEA2401213	ERX425351	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459004/ERR459004.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459004	wt_sample134	1	WT	20	WT_20
ERR459010	SAMEA2401219	ERX425357	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459010/ERR459010.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459010	wt_sample140	7	WT	20	WT_20
