run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
ERR458651	SAMEA2400855	ERX424998	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458651/ERR458651.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458651	mu_sample152
ERR458600	SAMEA2400804	ERX424947	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458600/ERR458600.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458600	mu_sample101
ERR458656	SAMEA2400860	ERX425003	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458656/ERR458656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458656	mu_sample157
ERR458657	SAMEA2400861	ERX425004	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458657/ERR458657.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458657	mu_sample158
ERR458602	SAMEA2400806	ERX424949	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458602/ERR458602.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458602	mu_sample103
ERR458604	SAMEA2400808	ERX424951	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458604/ERR458604.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458604	mu_sample105
ERR458660	SAMEA2400864	ERX425007	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458660/ERR458660.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458660	mu_sample161
ERR458661	SAMEA2400865	ERX425008	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458661/ERR458661.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458661	mu_sample162
ERR458608	SAMEA2400812	ERX424955	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458608/ERR458608.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458608	mu_sample109
ERR458663	SAMEA2400867	ERX425010	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458663/ERR458663.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458663	mu_sample164
